index,difficulty,reason
0,2.0,정답인 모자(J) 외에도 가방(B)이나 자켓(H)처럼 코디에 어울릴 법한 액세서리 오답이 포함되어 있습니다.
1,3.0,정답인 원피스(H) 외에도 다른 스타일의 원피스(G)와 시계(I)가 후보에 있어 혼동을 줄 수 있습니다.
2,3.0,정답(D)과 속성이 매우 유사한 털 신발(E)이 오답으로 존재하여 세심한 구분이 필요합니다.
3,2.0,"니트 원피스에 어울리는 부츠(H)가 정답이며, 다른 신발류(A, J)가 있으나 부츠가 가장 적절한 조합입니다."
4,4.0,"정답인 코트(C) 외에도 다른 외투(H)와 여러 벌의 바지(I, J)가 오답으로 깔려 있어 난이도가 높습니다."
5,3.0,"신발류(C, J)와 가방류(D, F, I) 오답이 다수 포함되어 있어 정답인 운동화(G)를 고르기 위해 고민이 필요합니다."
6,3.0,"전체적인 스타일에 어울리는 원피스(A, G) 오답들이 있어 가방(F)을 정답으로 확신하기에 변별력이 있습니다."
7,3.0,"이미 가방이 포함된 구성임에도 불구하고 다수의 가방 오답(A, B, D, J)이 제시되어 혼란을 줍니다."
8,4.0,"정답인 바지(C) 외에도 유사한 카테고리인 다른 바지들(I, J)과 코트(H)가 있어 선택이 어렵습니다."
9,4.0,"정답(E)을 포함하여 총 5개의 신발류 후보가 존재하며, 원피스 오답들도 있어 정답을 찾기 까다롭습니다."
10,3.0,"정답인 구두(E) 외에도 다양한 신발(B, C, D)과 원피스(G, H) 오답이 섞여 있어 난이도가 보통 이상입니다."
11,3.0,"정답인 모자(E) 외에 또 다른 모자(G)가 있고, 여러 켤레의 신발 오답이 있어 주의가 필요합니다."
12,3.0,"원피스(A, G, H)와 신발(E, F) 등 세트로 구성하기 좋은 오답들이 많아 정답인 귀걸이(D)를 고르는 데 고민이 생깁니다."
13,1.0,"오답 중 남성 의류/신발이 다수이며, 계절에 맞지 않는 의류나 이미 번들에 있는 모자와 다른 스타일의 모자 등 엉뚱한 선택지가 많아 정답이 뚜렷함."
14,3.0,"오답 중 계절에 맞지 않는 의류(D, E, I)나 스타일이 다른 의류(G)는 쉽게 제외할 수 있으나, 가방(F)이나 다른 드레스(A, B)는 정답과 유사하게 여성스러운 스타일이라 고민이 필요할 수 있음. 특히 가방(F)은 정답과 유사한 액세서리 범주에 속함."
15,5.0,"오답 중 B, H가 정답(G)과 매우 유사한 스타일의 가방으로, 모두 여성스럽고 세련된 액세서리라는 점에서 구별하기 매우 어려움. 기존 번들의 액세서리들이 가진 '스타일리시함'과 '고급스러움'에 부합하는 선택지가 많아 전문가도 헷갈릴 수 있음."
16,5.0,"오답 G가 정답 I와 매우 유사한 '여성용 어글리 슈즈(dad shoes)'이며, 계절감(가을/겨울)도 비슷하여 구별하기 매우 어려움. 정답 I의 '기모 안감'과 '겨울' 키워드가 기존 번들의 '겨울 신상 청바지'와 더 잘 맞아떨어지는 미묘한 차이가 있음."
17,1.0,"정답(B)이 기존 번들의 재킷과 동일한 브랜드(MG小象)이며, '겨울용 슬림핏 레깅스'로 짧고 두꺼운 겨울 재킷과 캐주얼한 뮬 슬리퍼에 완벽하게 어울려 정답이 매우 뚜렷함. 다른 오답들은 계절이나 스타일이 맞지 않음."
18,1.0,"기존 번들이 '학생', '교복 바지', '캐주얼한 티셔츠'로 구성되어 있어 '아카데미 스타일 캐주얼 흰색 운동화'(E)가 완벽하게 어울림. 다른 오답들은 스타일(B, I, H)이나 계절(D, F, G, J)이 맞지 않거나, 이미 번들에 있는 바지류(A, C)라 정답이 뚜렷함."
19,3.0,"오답 중 계절에 맞지 않는 의류/신발(A, B, C, D)은 쉽게 제외할 수 있으나, 귀걸이(E)와 다른 목걸이(I)는 정답(F)과 유사하게 여성스러운 액세서리라는 점에서 고민이 필요함. 특히 E는 F와 마찬가지로 섬세한 주얼리이며, 기존 번들에 없는 종류의 액세서리임."
20,3.0,"오답 중 B, J는 계절이 맞지 않지만, A, C, D, F는 모두 가을/겨울 의류로 정답(E)과 유사하게 번들에 추가될 수 있는 품목임. 특히 D(울 스커트)는 부츠와 함께 착용할 수 있어 고민이 필요할 수 있음. 하지만 부츠와 가장 잘 어울리는 하의인 '기모 가죽 레깅스/팬츠'(E)가 가장 자연스러운 선택임."
21,3.0,"오답 중 계절이 맞지 않는 의류/신발(B, G, H, I)이나 남성 의류(E), 이미 번들에 있는 가방(A)은 쉽게 제외할 수 있음. 하지만 겨울 스커트(D)나 겨울 코트(J)는 정답(F)과 유사하게 겨울 의류로 번들에 추가될 수 있는 품목임. 특히 D는 하의류로 정답과 경쟁할 수 있으나, '학생' '아카데미 스타일' 신발에는 레깅스/팬츠가 더 자연스러운 매치임."
22,5.0,"오답 A, F가 정답 D와 매우 유사한 '여성용 하이힐/샌들'이며, 계절감(봄/여름)과 스타일(우아함, 트렌디함)도 비슷하여 구별하기 매우 어려움. 정답 D의 '청키 하이힐 가죽 샌들'이 기존 번들의 '트렌디하고 개성 있는 가방'과 더 잘 어울리는 미묘한 차이가 있음."
23,3.0,"오답 중 계절이 맞지 않는 의류/신발(A, B, F, I)이나 이미 번들에 있는 드레스와 겹치는 상의(D)는 쉽게 제외할 수 있음. 하지만 가방(E)은 정답(G)과 유사하게 번들에 추가될 수 있는 액세서리이며, 목걸이(C)도 액세서리이지만 '스웨터 체인'이라 드레스와는 어울리지 않을 수 있음. E는 정답과 경쟁할 수 있는 하드 네거티브임."
