dataset,bundle_id,true_option,input,true_item,ibxbi_added_context,iu_top_wrong_option,iu_top_wrong_item,bixib_top_wrong_option,bixib_top_wrong_item,rank_IBxBI,rank_IUxUI,rank_BIxIB,candidate_indices
pog,16123,J,1. Converse匡威1970s三星标白色高帮低帮男女帆布鞋162056C 162065C [Additional context: This item is frequently included in outfits with: 倔强工作室 夏季潮流多口袋迷彩裤男士小脚哈伦裤宽松休闲九分裤; 邦顿手表男士机械表全自动防水潮流新概念学生钢皮带中国名牌男表.],几立|我们的征途是星辰大海呀的t恤 日系圆领双色印花套头短袖男X,,C,小玉酱网红浅色高腰直筒牛仔裤女宽松春秋新款港味复古chic裤子女 [Additional context: This item is frequently included in outfits with: 2019新款小包包斜挎包女包韩版手提包迷你小包复古油蜡牛皮小圆包; 大喜自制卡其色风衣女2018秋季新款宽松显瘦韩版中长款风衣外套; 羊毛帽子加厚贝雷帽女秋冬毛呢英伦画家帽韩版蓓蕾帽纯色日系百搭.],C,小玉酱网红浅色高腰直筒牛仔裤女宽松春秋新款港味复古chic裤子女 [Additional context: This item is frequently included in outfits with: 2019新款小包包斜挎包女包韩版手提包迷你小包复古油蜡牛皮小圆包; 大喜自制卡其色风衣女2018秋季新款宽松显瘦韩版中长款风衣外套; 羊毛帽子加厚贝雷帽女秋冬毛呢英伦画家帽韩版蓓蕾帽纯色日系百搭.],1,4,5,"[36814, 3872, 29046, 44385, 47551, 5430, 14613, 46301, 29108, 10378]"
pog,3227,B,1. 小白鞋女真皮韩版透气单鞋2018秋款平底休闲板鞋潮流做旧星星鞋女 [Additional context: This item is frequently included in outfits with: A7seven 加绒加厚连帽套头卫衣女冬季韩版宽松显瘦学生绒衫外套潮; JHXC chic羊羔毛皮毛一体外套女加厚2018冬季新款宽松bf夹克上衣; 冬季2018新款茧型连帽棉衣女中长款宽松bf拼接面包服加厚棉袄外套.],A7seven 加绒加厚连帽套头卫衣女冬季韩版宽松显瘦学生绒衫外套潮,This item is frequently included in outfits with: A7seven 加绒加厚牛仔萝卜裤女冬季韩版宽松显瘦休闲九分裤哈伦裤; 小白鞋女真皮韩版透气单鞋2018秋款平底休闲板鞋潮流做旧星星鞋女; 小瑞靓包菱格链条包包女2019新款软皮手提单肩小包时尚百搭斜挎包.,D,简佰格ins大容量包包2019新款潮时尚百搭单肩手提斜挎包复古女包 [Additional context: This item is frequently included in outfits with: 裤子女宽松直筒复古秋冬新款女装韩版时尚黑色牛仔裤女九分裤潮款; 春季新款方头乐福鞋女软底单鞋平底低跟简约时尚女鞋英伦小皮鞋潮; 小p良品铺 韩国饼干鞋2019春新款休闲鞋真皮平底小白鞋chic单鞋女.],C,温柔灯笼袖毛绒绒套头衫仿貂绒毛衣白色针织衫打底上衣女韩版秋冬,1,3,4,"[39760, 26866, 24291, 48231, 32361, 32643, 18450, 5916, 17692, 17067]"
pog,341,G,1. 小瑞靓包菱格链条包包女2019新款软皮手提单肩小包时尚百搭斜挎包 [Additional context: This item is frequently included in outfits with: 百搭基础小白鞋女春秋季2019春款新款网红女鞋韩版平底学生白鞋子; MG小象黑色紧身牛仔裤女春季新款开叉高腰小脚裤学生ulzzang裤子; 衣品乐原创大码提花圆领套头毛衣女宽松加厚针织衫韩版冬装R126.]; 2. 邪恶先生修脸日系纯色棉麻八角帽子女夏季文艺画家复古简约报童帽 [Additional context: This item is frequently included in outfits with: A7seven 直筒牛仔裤女秋季2019新款宽松显瘦复古百搭休闲九分裤子; 牛仔裤女春秋2018新款网红同款裤子 韩版百搭高腰牛仔裤九分裤; 森系花瓣珍珠吊坠耳环长款耳坠 气质韩国简约百搭贝壳ins少女耳饰.],一力米灰秋冬季中跟粗跟圆头马丁靴弹力复古小方跟百搭短筒靴子女,This item is frequently included in outfits with: LOVEHEYNEW文艺格子复古甜美少女心日系贝雷帽画家帽2018新款; 【南风】红色车缝线菱格包包女2018新款时尚链条女包单肩包斜跨包; A7seven 直筒牛仔裤女秋季2019新款宽松显瘦复古百搭休闲九分裤子.,C,夏季单肩小包包女士2019上新款潮韩版ins百搭链条斜挎包时尚简约 [Additional context: This item is frequently included in outfits with: 2019新款夏款白色一字带凉鞋女仙女风学生百搭细跟性感网红高跟鞋; 雪纺连衣裙2019新款夏季流行夏天裙子小个子裙子仙女超仙森系学生.],F,秋季新款韩版港味复古宽松格子chic衬衫女蝴蝶结系带长袖打底上衣 [Additional context: This item is frequently included in outfits with: 秋装2018新款木耳边针织小背心马甲女秋短款外穿无袖内搭毛衣上衣; 【亏本秒杀】12/12/20点开抢 秒杀39元 丝绒名牌包包限时抢; ulzzang高腰针织阔腿裤女秋装2018新款chic直筒裤原宿风休闲长裤.],1,7,3,"[46116, 11317, 33306, 10502, 9799, 18028, 38297, 16445, 37734, 25846]"
pog,18951,A,1. 高跟鞋女2019新款细跟尖头百搭单靴冬季瘦瘦马丁靴春秋款时尚短靴 [Additional context: This item is frequently included in outfits with: MISS FLY韩版高腰显瘦弹力涂层PU皮短裤女夏装2018新款阔腿裤热裤; 刘啦啦 中长款豹纹外套秋女2018新款冬装网红毛衣开衫百搭上衣潮#; 网红贝雷帽子女秋冬天 八角帽英伦报童帽 画家帽韩版日系百搭潮人.],韩国复古豹纹贝雷帽女秋冬百搭港风个性画家帽简约休闲潮蓓蕾帽,This item is frequently included in outfits with: 【sheii苏茵茵】超级回馈！新款SW方头方跟弹力短靴女袜子靴; 卫衣2018新款女上衣韩版宽松加绒加厚外套长款过膝卫衣连衣裙秋冬.,C,怒推！加绒加厚打底裤女外穿2018秋冬季新款保暖黑色小脚铅笔裤子,J,瘦竹竿 2018韩国秋季新品两粒扣高腰显瘦裤脚撕边缺口直筒牛仔裤 [Additional context: This item is frequently included in outfits with: 黛西毛衣外套女2018新款秋装几何撞色中长款春秋宽松百搭针织开衫; 【一条腰带】13PLUS流浪共和自制民族编织嬉皮流苏腰封 回馈价; 2018新款方头中跟蝴蝶结单鞋韩版百搭粗跟乐福鞋豆豆鞋小皮鞋女鞋.],1,5,5,"[43920, 44630, 42150, 39691, 23389, 15546, 6485, 37610, 45761, 1671]"
pog,7017,I,1. 上新质感小包包女2019新款chic链条复古小方包迷你百搭单肩斜挎包 [Additional context: This item is frequently included in outfits with: 百搭卷边小圆帽韩版潮秋冬季丸子帽小礼帽女纯色兔毛针织毛线帽子; LUKECSION社交女鞋黑色细跟高跟鞋真皮磨砂尖头浅口职业羊皮单鞋; Givenchy/纪梵希许愿球项链女满天星镶钻锁骨链简约个性60414680.],LUKECSION社交女鞋黑色细跟高跟鞋真皮磨砂尖头浅口职业羊皮单鞋,This item is frequently included in outfits with: 18春秋新款气质显瘦高腰A字裙加绒加厚百搭长裙黑色修身半身裙女; Givenchy/纪梵希许愿球项链女满天星镶钻锁骨链简约个性60414680; 黄一琳2018春秋新品韩版衬衣白衬衫宽松显瘦长袖喇叭袖V领上衣.,C,ZEGL蝴蝶结仿珍珠耳环女气质韩国短款耳坠简约百搭少女心ins耳钉 [Additional context: This item is frequently included in outfits with: 小蜜蜂草帽英伦太阳帽平顶帽大沿帽海边沙滩遮阳防晒度假帽子女夏; GRENDHA夏季 巴西进口立体蝴蝶结甜美 不夹脚平底 凉鞋女孩 百搭; 【南风】羊皮菱格链条包真皮女包2018新款手提包简约大气斜跨包.],D,短款外套女春季2019新款韩版宽松学生学院风麂皮绒复古chic短外套 [Additional context: This item is frequently included in outfits with: 鹿皮绒半身裙春装女2019新款法式复古包臀一步裙秋冬a字高腰短裙; CHICMILD起妙贩卖/自制高品质羊毛混纺贝雷帽画家帽黑灰白色系; 百搭宽松秋衣外穿上衣春装2019新款女时尚内搭条纹打底衫长袖t恤.],1,8,7,"[33262, 36431, 36355, 1302, 3980, 44387, 7937, 46952, 17236, 30321]"
pog,5470,G,1. pp home卫衣女春秋2019新款韩版圆领宽松中长款亮片白色套头上衣; 2. 巴掌家欧洲站重工烫钻高腰牛仔裤女春装2019新款时尚百搭浅色裤子 [Additional context: This item is frequently included in outfits with: 巴掌家欧洲站重工宽松套头慵懒毛衣女白色打底针织衫春装2019新款; 【南风】网红小黑包菱格链条包女2019新款女包单肩斜挎包质感包包; 巴掌家重工钉珠镶钻蕾丝针织衫女装春装慵懒套头毛衣宽松2019新款.],明星同款真皮时尚小白鞋女2019春款内增高系带厚底单鞋麦昆达女鞋,,A,热风2018年新款小清新女士亮钻学生小白鞋系带中口板鞋H13W8102 [Additional context: This item is frequently included in outfits with: Fs 2019夏高腰显瘦不规则毛边白色牛仔半身裙女短裙包裙一步裙子; 原创小众设计师手工布包森女复古文艺棉麻大包单肩包女百搭帆布包.],A,热风2018年新款小清新女士亮钻学生小白鞋系带中口板鞋H13W8102 [Additional context: This item is frequently included in outfits with: Fs 2019夏高腰显瘦不规则毛边白色牛仔半身裙女短裙包裙一步裙子; 原创小众设计师手工布包森女复古文艺棉麻大包单肩包女百搭帆布包.],1,2,2,"[39013, 38138, 42881, 47454, 1126, 41961, 25370, 38498, 37409, 31567]"
pog,16273,C,1. 冬季棉衣女ins中长款韩版宽松棉袄2018新款加厚潮bf棉服外套冬装 [Additional context: This item is frequently included in outfits with: 皮毛一体雪地靴女冬季欧货短靴2018新款保暖加绒加厚棉鞋白色皮面; 毛球帽子女秋冬韩国狐狸毛球毛线帽休闲百搭亲子帽简约儿童针织帽.]; 2. 秋冬天女士甜美可爱耳朵加厚羊羔毛围巾帽子一体雷锋帽 保暖风雪 [Additional context: This item is frequently included in outfits with: 棉袄女2018新款韩版棉衣学生冬季时尚百搭立领保暖棉服女潮款外套; 针织半身裙女秋冬韩版修身中长款高腰显瘦包臀裙开叉一步裙毛线裙; 韩版chic水桶包女2019新款潮秋冬大容量斜挎包简约百搭单肩大包包.],半身裙女春2019新款高腰chic针织裙a字包臀裙不规则毛线短裙子,,J,厚底增高毛毛鞋女冬外穿一脚蹬2018新款加绒瓢鞋懒人羊羔毛豆豆鞋 [Additional context: This item is frequently included in outfits with: ◆MUGU◆裤子女秋冬2018新款韩版锥形加厚高腰系带针织休闲萝卜裤; 小优家包包流浪包女2019新款上新菱格链条包女包锁扣斜挎包单肩包; 2018冬装新款chic羊羔毛外套女貂绒加厚宽松连帽东大门ins短外套.],F,Daphne/达芙妮女鞋冬季热卖时尚平底圆头侧拉链女棉靴中筒靴 [Additional context: This item is frequently included in outfits with: 耳环 女 S925纯银镶嵌和田玉中长款玉兰花型高端耳饰送给女生礼物; 金利来女包单肩包手提软皮chic包包女2018新款韩版潮大容量斜挎包.],1,4,3,"[4546, 6584, 10818, 6041, 27611, 19576, 4809, 13965, 18163, 46311]"
pog,14269,E,1. MUKOK时尚高领针织上衣女2018秋冬新款针织衫薄修身显瘦打底毛衣; 2. LOSEA 马毛锁扣包包女2018新款时尚小方包女包百搭单肩斜挎小包女 [Additional context: This item is frequently included in outfits with: 针织裙长袖女2019春装新款韩范条纹一字肩修身女人味包臀连衣裙; 狂人宇TT女鞋马衔扣乐福鞋女平底懒人鞋真皮英伦风一脚蹬踩跟单鞋; 韩版秋冬甜美可爱胡须耳朵麻花针织毛线帽 加绒加厚保暖帽.],傲麦小短靴女2018秋新款加绒棉鞋子女冬粗跟网红瘦瘦靴复古马丁靴,This item is frequently included in outfits with: 【南风】黑色流浪包女2019新款春季休闲女包小包包女单肩包斜挎包; ZOWZOW 秋冬蝴蝶结针织打底连衣裙羊毛裙宽松款2018呛口小辣椒; 真皮女包2019新款气质高级感包包洋气大容量简约大气手提包斜挎包.,C,高腰半身裙女香影2018春秋装新款时尚气质修身显瘦单排扣直筒裙潮,C,高腰半身裙女香影2018春秋装新款时尚气质修身显瘦单排扣直筒裙潮,1,4,3,"[29792, 12745, 20207, 14299, 26865, 47745, 8382, 20918, 7812, 618]"
pog,6167,A,1. 色璞优雅帽子女夏天日式遮阳帽手工编织渔夫帽旅行防晒草帽太阳帽 [Additional context: This item is frequently included in outfits with: 泡菜的店 侧边绑带设计无袖黑色背带裙 2019春季新款吊带连衣裙女; FILA斐乐手表女士石英表简约时尚复古罗马刻度钢带腕表dw616; 2018夏装新款雪纺连衣裙女温柔裙气质显瘦超仙冷淡风黑色慵懒裙子.]; 2. 网红小包包2019新款潮韩版百搭个性时尚手提小清新少女包单肩斜挎 [Additional context: This item is frequently included in outfits with: 大喜自制2018冬装新款女装复古中长款丝绒半身裙修身百搭A字裙女; 珂卡芙2018春秋季新款圆头粗跟单鞋女系带英伦小皮鞋复古中跟女鞋; 韩都衣舍2018韩版女装春装新款宽松纯色打底衫长袖T恤AA11842玎.],热风春季新款女士小清新蝴蝶结休闲鞋女平底单鞋潮H07W8705,,C,Designer Plus 短裙女2019春装新款复古a字粗花呢流苏格子半身裙 [Additional context: This item is frequently included in outfits with: 小个子2019新款春秋流行呢子大衣短款复古黑色毛呢外套女学生森系; 秋冬小包包女2018新款潮韩版百搭斜挎包少女丝绒单肩包时尚手提包; 日系护耳兔绒渔夫帽子女冬天加厚盆帽系带防风保暖帽子潮邪恶先生.],B,流苏雪纺衬衫女19春季新款喇叭袖毛绒绒气质V领百搭长袖宽松上衣 [Additional context: This item is frequently included in outfits with: 女鞋2018新款浅口时尚马毛单鞋性感细跟小清新尖头韩版高跟鞋潮女; EEKE Studio 金球珍珠耳环女可拆卸调节一款多戴耳钉原创小众耳饰; RIKAROOM 黑色加厚显瘦a字裙中长款裙子秋冬高腰修身毛呢半身裙女.],1,3,3,"[46775, 15976, 14273, 27737, 11234, 20657, 20675, 16678, 41403, 38456]"
pog,1665,D,1. TATA/他她秋撞色系带方跟小黑皮鞋女单鞋2HC84CM7 [Additional context: This item is frequently included in outfits with: 晶咕家韩版网纱金丝绒半身裙秋冬女装中长款纱裙a型高腰百褶裙子; 晶咕定制2018春装新款牛仔衬衫女长袖中长款韩版蓝色宽松衬衣外套.],韩国秋冬天贝雷帽复古画家帽羊毛帽子女韩版冬季休闲百搭蓓蕾帽潮,This item is frequently included in outfits with: 2019新款秋冬哑光仿羊皮裤女加绒弹力修身显瘦腿高腰黑色打底长裤; 2018新款马丁靴女英伦风短靴粗跟加绒军靴女靴子女秋冬高跟中筒靴; 小鹿要飞秋冬新款大毛领单排扣红色毛呢外套女中长款过膝呢子大衣.,E,范思蓝恩裤子女2018春新款阔腿裤绑带宽松休闲裤高腰百搭韩版长裤 [Additional context: This item is frequently included in outfits with: 2018新款马丁靴女内增高震地王英伦风冬季百搭超高跟厚底短靴子; 范思蓝恩羊毛呢外套女冬装新款韩版宽松显瘦中长款灰色双面呢大衣.],I,小狍2018新款西装领毛呢外套女韩版显瘦风衣中长款妮子大衣女 [Additional context: This item is frequently included in outfits with: Sense1991毛毛鞋女一脚蹬平底懒人鞋羊毛穆勒鞋春季单鞋|88522; 秋冬季文艺复古贝雷帽女貂绒帽可调节兔毛画家帽潮纯色毛绒蓓蕾帽; 黑色加绒打底裤九分女小脚裤2017秋冬弹力魔术裤紧身外穿铅笔裤子.],1,4,3,"[38022, 46423, 38301, 13718, 6855, 12723, 29244, 30865, 3488, 5426]"
