example_type,row_idx,bundle_id,true_indice,true_option_char,prediction,hit,input_gt_rank,input_gt_sim,input_neg_sim_max,input_gt_margin_vs_best_neg,input_semantic_top_option_idx,input_semantic_top_item,pred_input_rank,gt_to_distractor_sim_max
easy_hit_semantic_top1,53,5542,109034,A,A,1,1,0.7301948666572571,0.38676515221595764,0.34342971444129944,0,109034,1,0.3631361126899719
easy_hit_semantic_top1,32,9100,193661,C,C,1,1,0.737025797367096,0.4231466054916382,0.31387919187545776,2,193661,1,0.32706356048583984
easy_hit_semantic_top1,27,5187,240315,H,H,1,1,0.7215242385864258,0.4099682569503784,0.31155598163604736,7,240315,1,0.31231704354286194
easy_hit_semantic_top1,219,8525,212438,D,D,1,1,0.714981198310852,0.4069550037384033,0.30802619457244873,3,212438,1,0.2959738075733185
easy_hit_semantic_top1,99,751,158434,E,E,1,1,0.7890193462371826,0.48961341381073,0.29940593242645264,4,158434,1,0.36673712730407715
easy_hit_semantic_top1,58,9537,72370,A,A,1,1,0.6871064305305481,0.40328118205070496,0.28382524847984314,0,72370,1,0.29898911714553833
easy_hit_semantic_top1,213,711,209155,J,J,1,1,0.6782233119010925,0.4075511693954468,0.27067214250564575,9,209155,1,0.327889621257782
easy_hit_semantic_top1,95,13359,240494,J,J,1,1,0.6351232528686523,0.36770328879356384,0.2674199640750885,9,240494,1,0.3163608908653259
easy_hit_semantic_top1,68,4031,40289,B,B,1,1,0.7004258632659912,0.43522748351097107,0.26519837975502014,1,40289,1,0.37134960293769836
easy_hit_semantic_top1,152,12398,4987,A,A,1,1,0.6493741273880005,0.39123058319091797,0.2581435441970825,0,4987,1,0.2978173494338989
hard_miss_gt_low_rank,140,11876,198080,F,H,0,9,0.4347561001777649,0.5706146955490112,-0.13585859537124634,7,40976,1,0.3573193848133087
hard_miss_gt_low_rank,195,17630,146258,E,I,0,9,0.4137485921382904,0.5104361176490784,-0.09668752551078796,1,19438,5,0.33994585275650024
hard_miss_gt_low_rank,43,16592,244498,H,E,0,8,0.36321064829826355,0.5553396940231323,-0.19212904572486877,4,198206,1,0.42259469628334045
