index,difficulty,reason
0,3,"정답(E) 외에도 가방(A, F)과 같은 액세서리류가 포함되어 있으며, 특히 후보 D의 경우 상황 속 아이템과 동일한 '小蜜蜂(작은 꿀벌)' 키워드를 공유하고 있어 혼동 가능성이 있음."
1,3,"정답인 B(하이힐) 외에도 H(단화), J(롱부츠)와 같은 신발류와 C(귀걸이)와 같은 액세서리가 포함되어 있어, 전체적인 스타일 조화를 고려할 때 선택지 간의 고민이 필요함."
2,3,"정답인 B 외에도 E, G와 같은 여성용 신발 옵션이 존재하며, 특히 G의 경우 가방의 '복고풍(复古)' 속성과 일치하여 정답과 유사한 스타일로 보일 수 있어 혼동 가능성이 있음."
3,2,"정답 G가 상황에 제시된 아이템과 동일한 브랜드(范智乔)이며, 계절감(여름)과 아이템 조합(상의-하의)이 매우 적절함. 오답 D가 비슷한 스타일의 하의이지만 브랜드 일치 여부로 인해 정답이 명확하게 구분됨."
4,3,"정답인 E 외에도 B, F, I와 같이 여성스럽고 한국적인 스타일의 의류 옵션이 많고, H와 같이 동일 카테고리인 귀걸이 오답이 포함되어 있어 스타일 조화를 세밀하게 판단해야 함."
5,3,정답인 A(남성 후드티)와 오답 B(남성 조거 팬츠) 모두 주어진 흰색 운동화와 잘 어울리는 남성 캐주얼 스타일의 의류여서 선택 시 고민이 필요함. 나머지 오답들은 주로 여성용 아이템이거나 신발류여서 상대적으로 구분하기 쉬움.
6,1,"현재 번들이 상의(셔츠)와 아우터(코트)로 구성되어 있어 하의가 필요한 상황인데, 후보군 중 하의는 C(레깅스/바지)가 유일하며 나머지 오답들은 중복되는 아우터, 액세서리, 원피스 등으로 구성되어 있어 정답이 매우 명확함."
7,2,"오답 중 D(컨버스 운동화)와 C, E(가방)가 번들 구성품으로 가능성이 있어 일부 헷갈릴 수 있으나, 여름용 원피스와 밀짚모자 조합에는 기본 화이트 스니커즈(I)가 가장 전형적이고 무난한 매치이므로 정답이 비교적 뚜렷함."
8,2,"오답 중 A, C, D가 신발류로 정답과 카테고리가 겹쳐 고민될 수 있으나, 정답인 G(흰색 운동화)가 가장 범용적인 스타일이며, E, F, H는 이미 번들에 포함된 액세서리와 중복되는 카테고리여서 정답 선택이 비교적 수월함."
9,2,"오답의 상당수(A, C, D, E, G, I)가 여성용 제품이라 쉽게 제외되며, F와 I는 이미 신발이 포함된 구성이라 중복됨. 남성용 아이템 중에서도 여름용 신발 및 청바지와 가장 잘 어울리는 기본 티셔츠인 B가 정답으로 매우 뚜렷함."
10,1,"오답들 중 남성용 제품(E, F)과 계절감이 전혀 다른 가을/겨울 제품(A, B, C, H, J)이 대다수이며, 정답인 여름 원피스(I)가 상황(여름 뮬)과 가장 명확하게 어울려 구분이 매우 쉬움."
11,2,"오답 대부분이 겨울 의류(C, D)이거나 액세서리(F, H, I)이며, 다른 원피스인 J보다 정답 B가 '여름' 및 '해변 가방'이라는 맥락에 훨씬 더 잘 어울려 정답이 명확함."
12,2,"남성용 의류(B, C, J)와 이미 번들에 포함된 신발과 중복되는 아이템(I)이 있어 쉽게 제외할 수 있습니다. 다만, 여성용 하의(E)나 외투(A, F)가 정답인 가방(G)과 함께 코디 가능한 선택지로 포함되어 있어 약간의 혼동 여지가 있습니다."
