bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio
9388,27985,9,J,"[27786, 4787]","[9877, 21880, 26773, 14120, 1368, 2179, 9204, 30353, 2839, 27985]",1. 한시적으로 25% 할인됩니다. 모든 재킷에는 주름진 드로스트링 하프 터틀넥 바닥 니트 드레스가 함께 제공됩니다. 2. 여성을 위한 작은 굽의 짧은 부츠 2018 새로운 인터넷 연예인 다용도 사각형 발가락 두꺼운 굽 겨울 플러스 벨벳과 맨부츠 짧은 하이힐 부츠,"A. 모모의 2018 봄 신상 홍콩풍 슬릿 니트 원피스 안에 무릎까지 내려오는 긴 스웨터 스커트를 입고, B. 작은 가방 여성 2018 새로운 유행 한국 스타일 여름 다기능 미니 작은 향기로운 마름모 체인 크로스 바디 가방; C. 비즈 깃털 패턴 레이스 접합 곰팡이 가장자리 옷깃 긴팔 셔츠; D. Mengmengjia 여성 의류 겨울 2018 신한식 하이 웨이스트 슬림 도트 주름 A 라인 스커트 중간 길이 @; E. Horsebit Baotou 하프 슬리퍼 여성 여름 외투 2018 신품 정품 가죽 플랫 힐리스 게으른 뮬 샌들; F. 2018 뉴 여름 롱 스커트 게으른 스타일의 세련된 드레스 imiss 슈퍼 요정 v 넥 퓨어 블루 베이비 베이비 스웨터; G. 여성을 위한 풀 사이즈 플러스 사이즈 초가을 청바지 2018 새로운 스타일의 예술적인 패치 자수 헐렁한 바지 복고풍 워싱된 고민 바지; H. 봄, 가을 여성 자켓 시크한 홍콩 스타일 PU 오토바이 자켓 여성 슬림 가죽 자켓 하이 웨이스트 핑크 가죽 자켓 여성용 짧은 스타일; I. 2018 봄 신상 스타일 스트랩 A라인 스커트 하이웨이스트 학생 데님 스커트 화이트 스커트 여성용 짧은 스커트; J. ins 인터넷 연예인 베레모 여성 봄 가을 한국어 버전 일본 다재다능한 화가 모자 검정 영국 팔각형 모자 여성 모자 여름",H,H,0,0.34,1.0
21401,6491,7,H,"[3596, 27114]","[20567, 16368, 23133, 20295, 16367, 6154, 8911, 6491, 15299, 24174]",1. 정품 Guanqin 시계 남성용 초박형 가죽 가죽 시계 비 기계식 시계 패션 방수 석영 시계 트렌드; 2. 비치 모자 여성용 파나마 모자 태양 모자 여름 신선한 해변 해변 모자 태양 모자 휴가 태양 보호 모자,A. Hot Wind 2018 새로운 여름 스타일 작은 상큼한 여성 코르크 슬리퍼 외부 착용 플랫 캐주얼 슬리퍼 유행 H60W8207; B. Handu Yishe 2018 여성 한국 여름 신상 슬림 데님 스커트 짧은 스커트 A라인 스커트 IG6888; C. Chuyu 봄 가을 신상 라운드 넥 루즈하고 다양한 질감의 스트라이프 긴팔 티셔츠 여성용 대형 바닥 셔츠 상의; D. [한정 세일] CASSILE 소가죽 패션 만능 엔벨로프 체인 백 다이아몬드 버클 숄더 크로스백; E. 여성을 위한 한국식 캐주얼 반바지 2019 여름 신작 다목적 슬림 학생 컬링 스포츠 스트레이트 팬츠 하라주쿠; F. Ziqing 배색 중기 양면 나일론 울 코트 여성용 겨울 2018 신형 양면 모직 재킷; G. Hino 2019 신상 여름 신상 백리스 멜빵 주름 주름 시크 초선녀 스커트 허리 원피스 H. [11.11 04% 할인] Yipinle 라지 사이즈 중간 길이 니트 스플라이싱 코튼 린넨 프린트 드레스; I. Kimio 패션 트렌드 방수 숙녀 시계 학생 간단한 대학 스타일 대기 시계 석영 시계; J. Bouge 여성용 오리지널 파란색과 흰색 세로 줄무늬 셔츠 2018 새로운 긴팔 봄 느슨한 한국 스타일 라운드 넥 레이스 업 탑,A,A,0,0.34,1.0
11208,12800,3,D,"[18531, 24847]","[16366, 879, 15382, 12800, 17810, 8933, 9552, 21513, 5579, 29465]",1. Qiushui Yiren 2018 봄 가을 신상 여성 스퀘어 칼라 쉬폰 꽃무늬 레이스 업 프린트 작은 향기 드레스; 2. 한국 루나 인터넷 연예인 모조 진주 귀걸이 여성 기질 긴 귀걸이 새로운 기능 귀걸이 한국식 귀걸이 주얼리,"A. PPM2019 여성용 봄 신상 데님 재킷 루즈한 쇼트 오버사이즈 학생 bf 한국 스타일 다재다능한 실루엣; B. OTS2018 겨울 신상 홍콩 스타일 CHIC 재킷 모피 원피스 배색 오토바이 양복 멋진 여성 짧은 재킷; C. MG 작은 코끼리 작은 청신한 데님 재킷 여성 루즈한 봄 2019 새로운 캐주얼 짧은 재킷 시크 탑 패션; D. Steve Madden/Simeiden 2018 여성용 샌들 플랫솔 여성용 슬리퍼 SOFTEY; E. 여성용 겨울용 슬립온 모피 신발과 외투용 벨벳 2018 새로운 다재다능한 한국 복고 선녀화 두꺼운 굽 싱글 슈즈; F.13 Liangpin 2018 신상 하이웨이스트 만능 중기 니트 스커트 가을 겨울 여성 힙 스커트 쁘띠 스커트 G. 여름 트렌드 슈즈, 남성용 화이트 스니커즈, 한국판 트렌디한 라운드 투 스포츠 캐주얼 슈즈, 플랫 바닥, 활용도가 높은 남성용 화이트 슈즈; H. 미스 칩멍크 보헤미안 여성 드레스 2019 여름 신상 미드 스커트 플리츠 부드러운 스타일 서스펜더 스커트; I. 2019 여성 여름 신상 슬림 슬림 쇼트 로즈 레드 백리스 원피스 힙업 스커트 L1874 J.Abbott 빈티지 ""마키아토"" 소가죽 토트백 대용량 핸드백 싱글 숄더 여성가방 신제품",J,J,0,0.34,1.0
14200,16886,7,H,"[29124, 29032]","[5151, 31039, 24001, 26486, 29493, 30973, 14852, 16886, 14267, 26372]",1. [남부 스타일] 여성을 위한 복고풍 방황 가방 2019 새로운 패션 다목적 간단한 여성 가방 어깨 크로스 바디 체인 가방; 2. 특별 정리 반품 불가/하이 칼라 스웨터 드레스 스트레이트 내부 레이어링 슬리밍 스웨터 스커트 여성용,"A. 디자이너 브랜드 로우탑 캐주얼 스트리트 트렌드 통기성과 편안한 정품 소가죽 스포츠 스니커즈, 남성 및 여성용 운동화; B. 자외선 차단 의류 선녀 여름 중간 길이 초박형 느슨한 한국식 학생 에어컨 셔츠 재킷 니트 얼음 실크 가디건; C. 여성 봄 여름 화이트 원숄더 휴가 드레스 사교계 파티 메쉬 스커트 짧은 드레스를 위한 요정 드레스; D. Koradior/Koradior 브랜드 여장 2018 겨울 신작 프린트 캐주얼 하이웨이스트 슬림 원피스; E. 새로운 맞춤형 귀걸이 스털링 실버 재미있는 황금 행성 한국 로켓 패션은 여성을 위한 과장된 비대칭 유행 귀걸이입니다. F. 스페셜 민트치즈 독립 디자인 레트로 여성스러운 느낌의 은은한 핑크 플로팅 칼라 자수 탑; G. Zhenzhen 새로운 한국판 학생 슬림 하이웨이스트 불규칙 컷 청바지 여성 2018 가을 9부 팬츠 트렌드 H. 인터넷 연예인 날씬한 부츠 두꺼운 굽 짧은 부츠 여성 2018 가을 겨울 새로운 다용도 뒷면 지퍼 부츠 영국 미드힐 마틴 부츠; I. 골든폭스 미니백 2019 다용도 신상 심플 숄더백 크로스백 여성백 한국식 스몰 스퀘어 백 트렌디; J. Kissing Cat 2018 새로운 캐주얼 중공 두꺼운 밑창 흰색 신발 깊은 입 단일 신발 여성 DA98184-P4",H,H,1,0.34,1.0
23312,27238,2,C,"[29124, 1932]","[9229, 3670, 27238, 30656, 17868, 2304, 15888, 13704, 238, 23020]","1. [남부 스타일] 레트로 방황 가방 여성 2019 새로운 패션 다목적 간단한 여성 가방 어깨 크로스 바디 체인 가방; 2. Miaolu 2018 가을, 겨울 레트로 플랫 힐 세련된 짧은 부츠 여성용 플랫 코튼 신발 학생 백 레이스 업 스트레치 마틴 부츠","A. 한국 고민별 더러운 신발 여성 정품 가죽 운동화 2018 가을 겨울 신상 양모 복고 캐주얼 화이트 슈즈 B. 매회서 유럽역 2018 봄 여름 신상 자수 스팽글 하렘 루즈핏 슬림 데님 반바지 F; C. 희귀 확률 기질 안개 블루 중공업 실루엣 윈드 브레이커 여성용 긴 무릎 위 비대칭 디자인 투피스 재킷; D.ara 독일 앵무새 편안한 슬립온 소가죽 여성화 여성용 낮은 굽 슬립온 로퍼 F1/2 마지막; E. 뜨거운 바람 겨울 신상 여성 캐주얼 부츠 다용도 심플 라운드 발가락 소매 짧은 부츠 H84W7401; F. 유럽역 여성화 2018 여름 신상 가죽 뾰족한 샌들과 슬리퍼 유럽 패션 외투 하이힐 반슬리퍼 트렌드; G.za 밀짚 가방 ins 현아 여름 크로스 바디 여성 가방 인터넷 연예인 같은 스타일 버킷 백 미니 밀짚 가방 해변; H. [SF 무료 배송] 특별 정리 환불 불가/퍼리 칼라 플러스 벨벳 두꺼운 재킷 여성 캐주얼 루즈 윈드브레이커; I. Ninijia 가을 겨울 새로운 세로 스트라이프 니트 와이드 레그 팬츠 여성용 신축성 있는 허리 루즈 캐주얼 바지 여성용 긴 바지; J. 하이 웨이스트 테이퍼드 팬츠 여성 바지 2018 가을, 겨울 새로운 한국 스타일 느슨한 두꺼운 탄성 허리 강화 담배 바지",J,J,0,0.34,1.0
25705,17003,6,G,"[15228, 28196]","[11883, 10160, 3579, 9610, 24965, 1288, 17003, 19669, 30629, 24976]",1. Xiaorui 여성을 위한 컬러 매칭 마름모 가방이 있는 아름다운 가방 2019 새로운 스타일의 심플한 다용도 크로스바디 가방 어깨에 매는 가방 여성을 위한 작은 가방; 2. [50%할인] 슬림슬림 진 여성 일자바지 그레이 하이웨이스트 얇은 벨벳 앵클릿 9분바지,A. Meiyi Fuzzykon 삼선 ​​루즈한 로고 자수 캐주얼 스포츠 긴팔 재킷과 가을 여성용 상의; B. 자수 벨 슬리브 신축성 있는 허리 길이의 무릎 위 프린트 드레스; C. 영국식 두꺼운 굽 여성 신발 2018 가을 신상 복고 작은 가죽신 한국식 만능 선녀 인터넷 연예인 여성화; D. [남방 스타일] 봉투 가방 체인 가방 크로스백 여성 2018 신형 한국식 다용도 패션 싱글 숄더 여성 가방 트렌드; E. 여성용 로마 스포츠 샌들 여름 미드힐 한국어 버전 다목적 학생 플랫 단순 플랫폼 밑창 두꺼운 밑창 웨지 힐 여성용 신발; F. 정품 가죽 여성용 가방 심플 소가죽 대용량 여성용 대형 가방 문학 숄더백 토트백 2019 새로운 스타일; G. ins 여성화 홍콩 스타일 초인기 인터넷 연예인 싱글 슈즈 2019 가을 캐주얼 스포츠 가죽 아빠 슈즈 여성 플랫폼 슈즈 H. MG 코끼리 원피스 여성 여름 2018 신형 한국판 학생 셔츠 스커트 여심 핑크 선녀 스커트 I.인터넷 셀러브리티의 크로스백 와이드 숄더백 여성 2019 신형 정품 가죽 여성 가방 와이드 숄더백; J. 스프링 커플 워크부츠 가죽 마틴부츠 남성구두 플러스 벨벳 면화 스노우부츠 밀리터리부츠 하이탑신발 트렌디 남성부츠,A,A,0,0.34,1.0
5022,23203,5,F,"[24914, 30641]","[21281, 4361, 5065, 22818, 30991, 23203, 11613, 24302, 23260, 24237]","1. GOMEQI 2018 신상 가을 겨울 한식 슬림 부츠, 스웨이드 두꺼운 굽 작은 굽 짧은 부츠, 여성용 캐주얼 하이힐 부츠 2. 울 함량 최대 90%의 AI 프렌치 레트로 베레모, 가을 겨울 여성 화가 모자 모직 호박 모자","A. 쿨한 스타일의 여성 슬리밍 다이아몬드 박힌 헤비 듀티 7부 소매 슬리밍 및 다용도의 작은 검은색 스커트 기질 드레스 2019 봄 신상; B. Xiaoyujia 가죽 자켓 여성 2019 가을 신상 코트 긴팔 한국 스타일 슬림 봄 가을 슬림 가죽 자켓 오토바이 착용; C. 여성 작은 짧은 부츠 2019 봄 새로운 반투명 가을 짧은 부츠 시크한 여성 마틴 부츠 두꺼운 굽 그물 빨간 부츠; D. 여성용 플랫 슈즈 2019 신상 리본 인터넷 연예인 선녀 신상 페이턴트 가죽 로우힐 로퍼; E. 2018 봄 가을 여성을 위한 스타일의 싱글 슈즈 영국식 플랫 밑창 스트랩 투 웨어 캐주얼 로퍼 힐 포함; F. JACD 틈새 벨벳 크로스백 2019 신형 태국 자수 아코디언 가방 체인 숄더백 스웨이드 여성 가방 G. 여성용 겨울 2018 새로운 다목적 풀오버 루즈 바닥 스커트 E3110을 위한 일반 목재 하이 칼라 솔리드 컬러 니트 드레스; H. 2019 신상 여성화 뾰족한 여성 샌들 인터넷 연예인 싱글 슈즈 여성 여름 중형 굽; I. 스와로브스키 박동 하트 목걸이 신형 실버 블루 크리스털 여성용 쇄골 체인 5279425; J. 여성용 플랫 슈즈, 낮은 굽의 싱글 슈즈, 두꺼운 굽, 2018 한국형 봄 가을 신상 여성화, 스퀘어 토 뮬, 만능 로퍼",G,G,0,0.34,1.0
19001,29328,7,H,"[5502, 20676]","[26806, 30294, 29852, 6702, 6750, 1287, 9264, 29328, 16572, 18613]",1. 한국판 2018 여름 패션과 트렌디한 여성용 핸드백 달콤한 리본 핑크 반짝이 에나멜 가죽 여성용 가방; 2. 벨쇼핑몰 동스타일 여성부츠 두꺼운 굽 양말부츠 숏부츠 미드부츠 BAG60DZ7,"A. TEENLADY 오리지널 유럽 스테이션 레드 콘트라스트 울 스몰 스퀘어 가방 여성용 2018 신형 다이아몬드 체인 크로스백; B. 여성용 가방 새로운 2019 유행 정품 가죽 여성용 가방 여성용 크로스 바디 백 소형 ck 패션 다용도 기능 휴대용 어깨 가방; C. 2017 봄 신한식 단검 뾰족한 발가락 중공 하이힐 샌들 스웨이드 얕은 입 진주 섹시 OL 싱글 슈즈 유행; D. 세련되고 다양한 2019년 여성을 위한 새로운 스타일의 핸드백 중년 어머니를 위한 정품 가죽 핸드백; E. [특별 제공] BJHG 가을 유럽과 미국의 스트리트 쉬크 스플라이싱 대형 포켓 위장 테리 드롭 숄더 스웨트 셔츠 트렌디한 남성 재킷; F. 흰색 영국 여름 모자 해변 자외선 차단 접이식 한국식 태양 모자 여성용 여름 방학 밀짚 모자 해변 모자; G. 세 가지 색상 2017 여름 신제품 신축성 있는 허리 프린트 쉬폰 스커트와 프릴 소매 드레스 여성용 D722056L20; H. 발레리나 소녀의 여성 얼굴 슬리밍 귀걸이, 둥근 얼굴에 어울리는 긴 귀걸이, 한국식 귀걸이, 과장된 귀걸이; I. Xu Lin 미니 서스펜더 스커트 여름 2018 여성을 위한 새로운 A라인 롱 스커트 복고풍 대학 스타일 서스펜더 체크 드레스; J. Spliced ​​말 머리 여성용 가방 2018 새로운 부드러운 가죽 숄더백 한국식 패션 리벳 핸드백 다용도 크로스 바디 백",J,J,0,0.34,1.0
23312,17404,2,C,"[29124, 1932]","[9229, 3670, 17404, 30656, 17868, 2304, 15888, 13704, 238, 23020]","1. [남부 스타일] 레트로 방황 가방 여성 2019 새로운 패션 다목적 간단한 여성 가방 어깨 크로스 바디 체인 가방; 2. Miaolu 2018 가을, 겨울 레트로 플랫 힐 세련된 짧은 부츠 여성용 플랫 코튼 신발 학생 백 레이스 업 스트레치 마틴 부츠",A. 한국 고민별 더러운 신발 여성 정품 가죽 운동화 2018 가을 겨울 신상 양모 복고 캐주얼 화이트 슈즈 B. 매회서 유럽 역 ​​2018 봄 여름 신상 자수 스팽글 하렘 루즈핏 슬림 데님 반바지 F; C. Wen Wenting 2019 신상 가을 겨울 하이웨이스트 슬림 골드 벨벳 팬츠 블랙 드레이프 와이드 스트레이트 바닥 걸레팬츠 D. ara 독일 앵무새 편안한 슬립온 암소 가죽 여성 신발 로우 힐 슬립온 로퍼 여성용 가죽 신발 F1/2 Last; E. 뜨거운 바람 겨울 새로운 패션 여성 캐주얼 부츠 다목적 단순 라운드 발가락 슬리브 부츠 H84W7401; F. 유럽 역 ​​여성 신발 2018 여름 신상 정품 가죽 뾰족한 발가락 샌들 유럽 패션 외투 하이힐 반 슬리퍼; 지자 밀짚가방 인 현아 여름 대각선 십자수 여성가방 인터넷 연예인 같은 스타일 버킷백 미니 밀짚가방 해변; H. [SF 무료 배송] 특별 통관 환불 불가/모피 칼라 플러스 벨벳 두꺼운 코트 여성 캐주얼 루즈 윈드 브레이커; I. Ninijia 가을 겨울 신상 세로 줄무늬 니트 와이드 팬츠 신축성 있는 허리 루즈 캐주얼 팬츠 여성용 긴 바지; J. 하이웨이스트 테이퍼드 팬츠 여성 바지 2018 가을 겨울 신한식 루즈한 두꺼운 신축성 있는 허리 담배 튜브 팬츠,J,J,0,0.34,1.0
23040,22455,4,E,"[1215, 10858]","[8276, 7653, 31093, 276, 22455, 18828, 14035, 23788, 454, 21940]",Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,A. 김미희 2018 여름 신상 솔리드 컬러 슬림핏 숏립 반팔 티셔츠 여성용 BNM82032; B. Marie Claire 여름 다이아몬드 샌들 해변 두꺼운 굽 휴가 T 자형 실크 새틴 라인 석 플랫 바닥 MC 요정 신발; C.VME/Dance Charm 새로운 흑백 클래식 리본 소가죽 포인티드 토 사이드 에어 힐 슈즈 VS5A1336; D. 2019 봄 신상 유럽과 미국의 심플한 다용도 정품 가죽 스퀘어 발가락 V 입 두꺼운 굽 싱글 슈즈 여성 중간 굽 할머니 신발 화이트; E. 뜨거운 바람 봄 새로운 작은 신선한 흰색 신발 여성 플랫 하라주쿠 신발 레이스 업 유행 여성 캐주얼 신발 유행 H14W7110; F. S925 실버 바늘 한국어 달콤한 기질 사랑 귀걸이 간단한 다목적 귀걸이 성격 유행 인터넷 연예인 귀걸이 여성을 위한; G. 여성용 찢어진 청바지 2019 봄 가을 새로운 한국식 슬림 스트레치 스타킹 하이웨이스트 9부 팬츠 트렌드; H. 우아한 레이디 프린트 슬림 롱 스커트 오프 숄더 슬림 중간 길이 드레스 스커트 여성 2019 봄 새로운 스타일; I. CHARLES & KEITH 여름 샌들 크로스 스트랩 술 한 단어 스트랩 두꺼운 굽 여성 신발 CK1-60390311; J. [QC] 메쉬 스플라이싱 러플 라지 밑단 미드기장 레이스 드레스k,F,F,0,0.34,1.0
