example_type,row_idx,bundle_id,true_indice,true_option_char,prediction,hit,input_gt_rank,input_gt_sim,input_neg_sim_max,input_gt_margin_vs_best_neg,input_semantic_top_option_idx,input_semantic_top_item,pred_input_rank,gt_to_distractor_sim_max
easy_hit_semantic_top1,52,2709,14643,D,D,1,1,0.7294081449508667,0.4379110038280487,0.291497141122818,3,14643,1,0.49333247542381287
easy_hit_semantic_top1,204,18039,5863,B,B,1,1,0.5724790692329407,0.3809677064418793,0.1915113627910614,1,5863,1,0.4512481689453125
easy_hit_semantic_top1,78,19391,16507,H,H,1,1,0.5417696833610535,0.362223356962204,0.1795463263988495,7,16507,1,0.4111419916152954
easy_hit_semantic_top1,186,17587,8651,D,D,1,1,0.597366213798523,0.4438461661338806,0.15352004766464233,3,8651,1,0.44512468576431274
easy_hit_semantic_top1,77,7466,15133,H,H,1,1,0.6478339433670044,0.5324330925941467,0.11540085077285767,7,15133,1,0.5074740052223206
easy_hit_semantic_top1,96,18884,16507,D,D,1,1,0.5734442472457886,0.4846183955669403,0.08882585167884827,3,16507,1,0.3281593322753906
easy_hit_semantic_top1,171,7782,11463,B,B,1,1,0.5678360462188721,0.49927598237991333,0.06856006383895874,1,11463,1,0.39945000410079956
easy_hit_semantic_top1,17,11400,8318,B,B,1,1,0.6565632224082947,0.5919976234436035,0.06456559896469116,1,8318,1,0.5931574106216431
easy_hit_semantic_top1,195,6974,9239,F,F,1,1,0.493580162525177,0.4425433874130249,0.0510367751121521,5,9239,1,0.4760345220565796
easy_hit_semantic_top1,172,8626,15091,B,B,1,1,0.5660949349403381,0.5400030612945557,0.02609187364578247,1,15091,1,0.6313655376434326
hard_miss_gt_low_rank,4,23312,27238,C,J,0,10,0.42273634672164917,0.5655280351638794,-0.14279168844223022,4,17868,9,0.5413357615470886
hard_miss_gt_low_rank,7,19001,29328,H,J,0,10,0.38260525465011597,0.6762983202934265,-0.29369306564331055,9,18613,1,0.3548702001571655
hard_miss_gt_low_rank,38,18369,3858,E,J,0,10,0.3939409852027893,0.6720801591873169,-0.2781391739845276,5,1980,5,0.5038436651229858
hard_miss_gt_low_rank,23,26440,25278,G,E,0,10,0.3251553177833557,0.578840970993042,-0.2536856532096863,8,6200,9,0.4433799386024475
hard_miss_gt_low_rank,234,8087,13890,H,F,0,10,0.386772483587265,0.6900665760040283,-0.3032940924167633,3,17606,2,0.3748784065246582
hard_miss_gt_low_rank,227,20033,20536,D,B,0,10,0.3661647140979767,0.5255973935127258,-0.15943267941474915,1,19587,1,0.33859139680862427
hard_miss_gt_low_rank,158,11963,29836,D,C,0,10,0.41119611263275146,0.52475905418396,-0.1135629415512085,0,24873,7,0.3292125463485718
hard_miss_gt_low_rank,160,16091,4936,F,H,0,10,0.4057961106300354,0.5976670980453491,-0.19187098741531372,8,22932,5,0.4301343560218811
