dataset,focal_view,bundle_id,true_option,input,true_item,true_added_context,rank_IBxBI,rank_IUxUI,rank_BIxIB,candidate_indices,IBxBI_top_wrong_option,IBxBI_top_wrong_item,IBxBI_top_wrong_context,IUxUI_top_wrong_option,IUxUI_top_wrong_item,IUxUI_top_wrong_context
pog,BIxIB,12361,A,1. 特步板鞋休闲鞋正品年春季时尚运动鞋情侣潮流潮流情侣款小白鞋,AK男装 新款都市特工袖子印花圆领套头青年休闲卫衣上衣男潮,,2,2,1,"[26154, 28539, 21189, 4960, 37285, 21853, 1654, 3688, 41202, 39433]",B,【特价】新款立体裁剪毛呢锥形束脚裤加厚休闲裤男宽松小脚哈伦裤,,B,【特价】新款立体裁剪毛呢锥形束脚裤加厚休闲裤男宽松小脚哈伦裤,
pog,BIxIB,4551,C,1. im向自制 秋季女百搭长袖衬衣韩版复古chic小清新格子bf风衬衫; 2. 朴正义 春季新款中长款牛角扣毛呢外套女羊绒呢子大衣,EKOOL不规则修身高腰打底裤女外穿九分紧身弹力小脚裤显瘦长裤子,,4,3,1,"[19155, 47719, 32272, 19995, 41106, 41550, 21652, 10778, 16170, 41367]",E,五角星耳环女个性夸张韩国气质长款吊坠百搭性感网红星星耳坠耳钉,,D,简佰格夏天小包包女2019上新款春款ins链条时尚百搭单肩斜挎女包,
pog,BIxIB,10076,G,1. 海盗船银饰新款粉樱花耳钉女韩国气质银耳环时尚个性耳坠简约耳饰; 2. VSVELSUS2018新款单肩斜挎条纹链条小方包女包VA503902,人本2018厚底小白鞋女新款百搭皮面白色板鞋松糕底系带纯色休闲鞋,,6,3,1,"[18780, 18870, 26030, 42036, 48201, 30559, 11606, 35534, 10506, 19327]",I,女装秋装2018新款时尚潮亮丝条纹拼色韩版宽松慵懒针织毛衣女套头,,I,女装秋装2018新款时尚潮亮丝条纹拼色韩版宽松慵懒针织毛衣女套头,
pog,BIxIB,209,J,1. 帽子女秋冬天狐狸毛球棒球帽韩版加厚仿水貂绒时尚百搭鸭舌帽潮,白色毛毛鞋女冬外穿内增高平底鞋粉色羊羔毛女鞋一脚蹬网红女鞋,,3,7,1,"[21631, 14150, 36466, 40101, 8724, 43933, 2828, 4984, 25472, 28580]",E,2018秋冬新款韩版百搭高腰纯色中长款开叉毛线包臀裙女针织半身裙,,E,2018秋冬新款韩版百搭高腰纯色中长款开叉毛线包臀裙女针织半身裙,
pog,BIxIB,9320,G,1. 靴子女冬2018新款切尔西短靴女平底粗跟短筒马丁靴加绒棉鞋女秋冬,13良品2018冬季新款韩版xs小个子呢子大衣女宽松短款加厚毛呢外套,,2,2,1,"[25204, 13543, 41631, 15239, 32480, 34007, 44675, 13384, 6695, 45059]",E,小包包女2018春夏新款韩版时尚复古斜挎小方包百搭宽肩带单肩女包,,J,ins超火的牛仔裤女2018春秋新款韩版ulzzang高腰直筒小脚裤长裤子,
pog,BIxIB,2557,I,1. 一力米灰2018新款冬季真皮马衔扣平底懒人穆勒包头羊毛毛半拖鞋女; 2. HEYGIRL黑哥 金丝绒阔腿裤女 复古高腰垂感拖地裤休闲裤2018秋季,牛角扣外套女羊羔毛毛绒2018冬季chic中长新款加厚麂皮毛一体大衣,,3,4,1,"[15041, 38425, 34793, 3484, 4229, 11956, 40456, 29736, 21834, 45963]",D,EE 秋冬新款时尚羊毛呢帽 休闲百搭冬季礼帽 英伦帽子女,,D,EE 秋冬新款时尚羊毛呢帽 休闲百搭冬季礼帽 英伦帽子女,
pog,BIxIB,13340,I,1. 棉鞋女2018新款冬季百搭学生韩版保暖二棉鞋女加绒休闲运动小白鞋; 2. S家原创女装2018冬季新款韩版宽松西装领外套中长款毛呢大衣女,柒卡斓侧边条纹坠感阔腿裤女春秋长裤子垂直感高腰牛仔直筒运动裤,,4,4,1,"[30294, 20093, 21226, 14017, 36012, 32798, 27506, 28002, 10005, 8476]",D,库茵绣花金叶秋冬季羊毛呢帽帽子女画家帽南瓜帽贝雷帽蓓蕾帽英伦,,E,复古港风chic包包女2018新款韩版ins超火包斜挎小包女ulzzang单肩,
pog,BIxIB,3129,I,1. 【南风】经典复古豆腐包小方包包女2018新款时尚单肩包斜跨包小包; 2. 2019春季新款尖头铆钉韩版猫跟女鞋高跟鞋女细跟浅口时尚百搭单鞋,izp 春装2019款法国小众连衣裙很仙的过膝毛衣裙女春秋流行裙子,,3,4,1,"[47312, 35715, 9316, 42452, 13719, 47735, 11931, 5579, 14503, 44447]",B,网红毛衣女2018新款宽松套头慵懒港风加厚针织打底衫,,A,高腰牛仔裤女裤春季九分裤韩版修身八分裤毛边小脚裤长裤铅笔裤夏,
pog,BIxIB,14227,B,1. the pool aoyama tote藤原浩托特包斜挎包ins单肩包wtaps visvim,枪枪家毛衣女套头2018秋季新款韩版绑带薄款长袖初秋针织打底上衣,,2,6,1,"[48553, 38315, 48546, 31238, 39002, 10316, 25159, 45754, 20478, 2893]",F,耐克NIKE AIR MAX 90 天鹅绒 暖灰 气垫运动鞋 男女鞋98512007,,C,夏天小包包女2019新款潮韩版百搭时尚迷你亮片ins超火少女斜挎包,
pog,BIxIB,10066,I,1. 微笑向暖AWQ文艺复古高领后开祁加厚毛衣裙,小包包2018新款韩版潮百搭圆环女包chic个性时尚复古单肩斜挎手提,,4,4,1,"[45963, 16720, 21299, 12535, 39941, 24894, 25180, 20204, 15137, 11050]",E,毛毛鞋女冬外穿羊羔毛一脚蹬瓢鞋2018冬款网红女鞋平底加绒豆豆鞋,,J,乐福鞋女一脚蹬2019春新款小皮鞋女英伦方头平底百搭学生软底单鞋,
