bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,raw_response,hit
1851,24847,5,F,"[5973, 18106]","[2809, 8147, 28593, 4446, 15153, 24847, 22047, 16950, 6968, 23365]",1. 韩都衣舍2018韩版女装夏装新款潮学生宽松上衣短袖T恤AA10293玎; 2. 【祥云版】回力女鞋帆布鞋百搭小白鞋情侣板鞋学生运动休闲鞋子秋,A. V37男士毛衣 秋季韩版圆领长袖针织衫宽松套头打底衫毛线衣男线衫; B. 星座手链女纯银十二星座森系草莓水晶手链学生天然粉水晶生日礼物; C. 妙侣2018秋冬新款平底休闲弹力袜子靴女英伦复古平跟皮带扣短靴女; D. 【设计师款】Skechers斯凯奇女鞋新款时尚板鞋小白鞋休闲鞋 68704; E. 烫社交女鞋黑色蓝色真丝绸缎尖头高跟鞋细跟浅口单鞋女中空凉鞋; F. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品; G. 毛呢阔腿裤女秋冬七分裤新款高腰韩版休闲裤宽松大码九分直筒裤女; H. [清仓]TATA他她秋季商场同款英伦织带饰扣休闲女乐福鞋T3330CQ7; I. 2019春季新款尖头温柔鞋晚晚鞋平底百搭中跟仙女豆豆鞋粗跟单鞋女; J. 光面BOX蜡帕牛皮时尚百搭单肩斜挎手提凯莉包手包真皮女包,G,G,0
10710,28183,7,H,"[1098, 21700]","[19312, 17276, 1142, 19524, 890, 12836, 17500, 28183, 13275, 29607]",1. 梦梦家女装秋季2018新款麂皮绒休闲裤女高腰阔腿裤子九分直筒裤子; 2. MG小象牛角扣毛呢外套女中长款纯色上衣秋冬2018新款甜美连帽大衣,A. 韩版黑色2019春季秋季新款尖头鞋细跟性感尖头超高跟鞋百搭单鞋潮; B. 小玉酱 港味豹纹半身裙秋女中长款2018高腰包臀裙胯宽女生的裙子; C. 夏季新款小白鞋女2019春款韩版百搭基础平底板鞋子夏款白色帆布鞋; D. 黑色牛仔短裤女夏装新款显瘦韩版高腰毛边a字阔腿宽松网红ins热裤; E. ulzzang破洞牛仔铅笔裤女春秋2018新款韩版紧身小脚显瘦九分裤子; F. 小鹿要飞新款黄色格子衬衫女夏中长款漏锁骨港风上衣心机斜肩衬衣; G. 2018春季新款暗条纹休闲V领衬衫纯色百搭单排扣白色上衣女长袖; H. 潮ins超火包包女2019新款小方包时尚毛呢斜挎包百搭链条单肩女包; I. 雪地靴女2018新款冬季短筒韩版百搭学生厚底棉鞋女加绒加厚短靴子; J. 欧洲站2019春季新款时尚猫头长袖内搭T恤女修身亮丝打底体恤女春,J,J,0
18199,11399,9,J,"[9433, 13302]","[17856, 18001, 15520, 23658, 6854, 3823, 10222, 6330, 19882, 11399]",1. 五角星耳环女个性夸张韩国气质长款吊坠百搭性感网红星星耳坠耳钉; 2. ins小白鞋女春季百搭基础皮面学生鞋子平底单鞋真皮板鞋女鞋休闲,A. STACCATO/思加图2017夏专柜同款一字带时尚优雅女凉鞋9E701BL7; B. 秋装长袖高领宽松字母刺绣套头蓝色丝绒chic原宿bf卫衣短款女-; C. 王东开叉真丝连衣裙不见不散 慵懒的时尚GUAN东2019夏新款长裙; D. salad单肩斜挎女包03864牛皮方形简约大气戴妃包手提包; E. 蒂米妮手表女防水时尚ins网红星空潮流水钻女士表同款石英表; F. 包头凉鞋女仙女风2019新款粗跟韩版百搭学生网红超火温柔鞋ins潮; G. 包包女2019新款潮韩版百搭斜挎大容量真皮时尚大气女士单肩手提包; H. 夏奈可可针织连衣裙冬季2017新款女中长款韩版修身显瘦高领打底裙; I. 无有无印秋季新款蓝格子背带连衣裙 拼接吊带修身显瘦长裙M16540; J. 韩版可折叠手工大沿草帽女夏天百搭小清新海边沙滩夏防晒遮阳帽子,D,D,0
5081,8022,7,H,"[2198, 28059]","[20486, 10995, 22862, 2778, 9878, 9693, 10326, 8022, 3561, 5092]",1. 上新小包包2019春新款百搭网红小黑包简约百搭迷你单肩斜挎包女包; 2. 【sheii苏茵茵】超级回馈！新款SW方头方跟弹力短靴女袜子靴,A. 秋冬新款女韩版气质修身坑条中长款荷叶边下摆鱼尾针织毛衣连衣裙; B. 破洞裤子夏装2019新款宽松水洗背带裤短款ins牛仔裤浅色短裤女; C. 唐嫣同款粉色双面羊绒大衣女中长款2018新款女装直筒韩版毛呢外套; D. 2019新款女鞋ins网红单鞋真皮厚底森女系名媛风复古小皮鞋鞋子女; E. 2018新款女装春装韩版套头长袖卫衣拼接牛仔收腰秋冬连衣裙中长款; F. TATA/他她春季圆头平底浅口女单鞋FJ506AQ7; G. 九分牛仔裤女秋冬装2018新款韩版百搭高腰显瘦紧身铅笔小脚裤子潮; H. MG小象黑色不规则半身裙女秋2018新款高腰时尚气质皮裙a字短裙子; I. 中长款毛呢外套女秋2018新款港风复古时尚小个子外套女双面呢大衣; J. 2017泰国定制爱心mini鸵鸟羽毛流苏包包链条单肩斜跨手提小方包,A,A,0
27846,17227,1,B,"[29351, 30265]","[24097, 17227, 9078, 25681, 25900, 2668, 15512, 1704, 25124, 26473]",1. 韩都衣舍2019韩版女装夏装新款潮打底衫潮宽松短袖T恤JZ7061甦; 2. 红色桃心爱心耳坠耳环女气质韩国个性百搭网红耳饰耳钉2019新款潮,A. 安小落自制茧型娃娃领大衣气质显瘦毛呢外套女中长款款夹棉加厚; B. 韩都衣舍2018新款女装夏装韩版纯色卷边短裤牛仔裤女GW9076阨; C. edacity超火裤子女 百搭2018秋冬新款韩版显瘦直筒紧身小脚牛仔裤; D. 周大力小白鞋女2018新款百搭学生韩版系带夏季白鞋透气白色鞋子女; E. Fanci 范琦18K金戒指环彩金蝴时尚蝶结指环少女心生日礼物送女友; F. SOARIN英伦风复古九分西装裤男 人字纹修身直筒西裤英式9分休闲裤; G. 金大班/风轻/2018冬季新款韩版中长款褶皱学生休闲显瘦半身裙子女; H. ins超火卫衣女套头2019春秋新款韩版宽松连帽百搭纯色cec外套薄款; I. Furla芙拉 Metropolis系列 女士链条斜挎包  920357; J. 七格格打底衫2018秋冬新款时尚薄款小衫常规长袖V领T恤女打底衫女,B,B,1
13897,23332,1,B,"[11181, 30641]","[14611, 23332, 20269, 25254, 26785, 26103, 14538, 9779, 29439, 23820]",1. MC2018秋季新款宽松立领毛呢外套显瘦气质时尚斗篷大衣女装冬中长; 2. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子,A. 马丁靴女秋冬加绒2019新款切尔西真皮裸靴平底粗跟方头英伦短靴女; B. 包包女2018秋冬新款时尚托特包真皮百搭大容量手提单肩包女大包; C. 卡西欧手表女学生复古小方表防水时尚网红方形钢皮带表LTP-V007; D. Koradior/珂莱蒂尔正品2019春装新款休闲气质名媛蕾丝连衣裙加绒; E. 外搭流苏防晒衣女2019夏新款薄款宽松长袖针织开衫长款空调衫外套; F. 美嘟嘟定制包包女2019新款款小众设计款极简个性单肩斜挎软皮小包; G. 糖力 春装新款欧美女装裸色羽毛袖口礼服裙显瘦吊带露肩连衣裙; H. 2019夏季新款一字扣带粗跟露趾透明凉鞋女水晶圆跟气质仙女高跟鞋; I. S925纯银耳钉女日韩国气质耳环长款耳圈水晶锆石流苏耳坠个性百搭; J. 小跟短靴女冬2018新款尖头细跟猫跟鞋卡其色翻毛皮及踝靴浅色裸靴,J,J,0
26362,4641,5,F,"[20461, 29124]","[6434, 16001, 18570, 21132, 6228, 4641, 16979, 18341, 25638, 9746]",1. 73Hours DEBBIE 2018秋冬季新款细跟高跟靴瘦瘦靴短筒靴子女袜靴; 2. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包,A. 夏季蓝白条纹衬衫男长袖韩版宽松很仙的潮流网红薄款衬衣外套ins; B. 衣品乐原创大码宽松印花拼接连帽套头卫衣打底衫胖MM女装春装新款; C. CHIC VEN自制2018夏装新款 韩版chic百搭高腰叠位设计裤裙短裤 女; D. 乐福鞋女2018新款秋冬英伦风女鞋一脚蹬小皮鞋圆头平底休闲女单鞋; E. venuco透明包包女果冻包2019新款迷你小包手提包糖果色单肩斜挎包; F. 巴掌家欧洲站2018新款重工潮牌运动休闲裤女秋冬裤子宽松哈伦裤潮; G. 欧洲站2019春夏新款洋气字母绣花亮片钉珠圆领宽松短袖条纹t恤女F; H. 运动鞋女2018冬季新款韩版厚底增高百搭加绒网红智熏鞋老爹鞋子女; I. 粉红大布娃娃新款秋冬时尚甜美纯色简约荷叶领修身针织T恤打底衫; J. 2017冬季新款韩版加厚樱桃毛衣外套女宽松灯笼袖中长款针织开衫,C,C,0
18950,1473,4,E,"[7143, 29328]","[19211, 7279, 19584, 11668, 1473, 29834, 6593, 19664, 28187, 2144]",1. 小瑞靓包纯色小方包包女2019新款时尚简约斜挎包单肩锁扣链条小包; 2. 芭蕾舞女孩显脸瘦的耳环女长款适合圆脸耳坠韩国气质耳钉夸张耳饰,A. 日系甜美宽松套头毛衣女可爱软妹针织衫韩版学生小清新粉色上衣潮; B. NOTHOMME日系潮牌宽松版落肩做旧连帽外套夹克男女情侣款嘻哈街舞; C. BT2019新款夏季绑带鞋女芭蕾平底浅口单鞋交叉时尚真皮尖头凉鞋子; D. ins羽绒棉服女中长款过膝粉色面包服chic棉衣oversize棉袄原宿潮; E. 【买四免一】ALUONLINESHOP 刺绣网纱女高腰无袖裙子黑色连衣裙; F. 小香风高跟鞋少女细跟2019春秋季新款性感百搭毛线尖头小清新单鞋; G. 毛绒耳坠长款吊坠韩国气质耳链女个性百搭潮人耳饰毛毛球耳钉耳环; H. 新款白色显脸瘦的耳环女长款流苏耳坠韩国气质吊坠个性潮夸张耳饰; I. 仿貂绒外套秋冬装女2018新款韩版宽松显瘦百搭chic中长款毛绒大衣; J. Daphne/达芙妮夏季一字带粗跟纯色通勤时尚粗跟凉鞋女,C,C,0
23812,18058,2,C,"[1244, 29124]","[25764, 21832, 18058, 20220, 13137, 28199, 24478, 19604, 112, 20219]",1. 蜜桃家2019春季韩版bf宽松撞色拼接牛仔外套女士宽松拉链休闲夹克; 2. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包,A. achette雅氏4JC2 春夏中口单鞋渔夫鞋舒适轻便平底女鞋; B. 外套秋女2018新款女生帅气上衣长袖宽松休闲毛绒外套女套百搭秋季; C. 张贝贝ibell 网红牛仔裤女秋高腰2018新款破洞韩版阔腿休闲长裤; D. 一字扣带中空凉鞋女夏尖头高跟鞋细跟浅口单鞋真皮包头女鞋休闲鞋; E. 法式山本毛衣裙女维多利亚小众开叉收腰过膝复古超仙连衣裙两件套; F. PLAFIELD AnaRosha 2018秋冬新款 刺绣花拼接网纱鸵鸟毛卫衣女 R; G. 2019新款春夏季连衣裙女木耳边网红洋气马海毛毛衣套头中长款宽松; H. BJHG欧美做旧膝盖破洞乞丐牛仔裤潮男哈伦裤街头宽松休闲小脚裤; I. 日着原创设计2018冬季新款 金属丝平绒解构半裙; J. 姬龙雪女包2019新款个性GL圆环手提包时尚百搭牛皮大包包斜挎包,C,C,1
7794,18518,4,E,"[17457, 18214]","[26577, 3031, 26935, 27672, 18518, 30451, 14625, 9696, 10101, 980]",1. Mell 马蒂斯人像 小众法式不对称耳环夹女无耳洞高级设计感简约; 2. 真皮百搭透气小白鞋女2019新款春夏休闲运动旅游平底单鞋白色板鞋,A. 软皮粗跟中跟单鞋女2019春款白色乐福鞋英伦一脚蹬珍珠真皮穆勒鞋; B. 小虫慵懒羊绒毛衣裙半高领针织连衣裙女显瘦a字过膝内搭裙子秋冬; C. 2018秋季网红运动鞋女新款韩版ulzzang原宿百搭学生休闲跑步鞋潮; D. NOTHOMME日系潮牌破洞割破黑色休闲裤男装修身锥形裤长裤ifashion; E. 女包2018新款潮chic链条小方包简约百搭单肩斜挎包迷你风琴小包包; F. MG小象宽松高腰牛仔裤女冬季复古直筒裤2018新款学生ulzzang裤子; G. 网红雪地靴女2018新款短筒马丁靴学生保暖加厚棉鞋女冬加绒靴子女; H. 衣品天成2019新款夏季短袖男士圆领套头潮流韩版ins超火印花t恤装; I. 耳环女长款气质韩国耳夹圆脸适合的夸张流苏耳坠网红百搭欧美耳饰; J. MISSFLY 黑色亮丝拉链高腰短裙2019春新款韩版个性时尚包臀半身裙,ERR_EX,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",0
