bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio
9388,27985,8,I,"[4787, 27786]","[24318, 15694, 29946, 22029, 8514, 14752, 14082, 19082, 27985, 28032]","1. 여성용 2018 새로운 스타일의 작은 굽 짧은 부츠, 다재다능한 사각형 발가락 두꺼운 굽, 겨울 벨벳 및 베어 부츠, 여성용 짧은 하이힐 부츠; 2. 기간 한정 25% 할인, 모든 재킷에는 주름진 드로스트링, 하프 터틀넥, 밑단 니트 드레스가 함께 제공됩니다.","A. [할인] Tangli 2018 여름 신풍 유럽과 미국 케이크 스커트 러플 프린트 쉬폰 드레스 여성용 롱 스커트; B. [MONA] 겨울 신상 카멜 루즈 하라주쿠 복고 재킷 트렌드 여성용 중간 길이 양털 코트; C. 여성용 실버 광택 반바지 2019 봄 여름 새로운 한식 부츠와 바지 하이웨이스트 다용도 캐주얼 와이드 팬츠; D. 한국 동대문 기질 다재다능한 긴 CD 비대칭 다이아몬드 진주 귀걸이 과장된 문자 기질 여성 귀걸이; E. Handu Yishe 2018 한국 스타일 여성 여름 착용 새로운 자수 오프 숄더 가짜 투피스 드레스 OY7173. 환; F. A7seven 여성 가을 ​​겨울 한국 버전 학생 다용도 니트 가디건을 위한 루즈한 슬리밍 솔리드 컬러 불규칙 스웨터 재킷; G. Disanna 봄 신상 여성 가방 정품 가죽 작은 사각형 가방 여성 가방 대조 스웨이드 숄더백 체인 두부 크로스 바디 백; H. Ziqing의 새로운 겨울 모직 양면 모직 코트, 여성스러운 기질, 슬림핏, 다재다능한 한국 스타일의 시크한 따뜻한 모직 코트; I. 인스 인터넷 연예인 봄 가을 여성용 베레모, 한국판, 일본식 올 매치 화가 모자, 검은색 영국 팔각형 여성용 모자, 여름; J. 여름 질감, 서양식 작은 가방, 인패션, 다재다능한 휴대용 크로스백 여성가방, 인터넷 연예인 물통",H,H,0,0.334,0.966
21401,6491,9,J,"[3596, 27114]","[21181, 20779, 25159, 29904, 15203, 30855, 18915, 9556, 7144, 6491]",1. 정품 Guanqin 시계 남성용 초박형 가죽 가죽 시계 비 기계식 시계 패션 방수 석영 시계 트렌드; 2. 비치 모자 여성용 파나마 모자 태양 모자 여름 신선한 해변 해변 모자 태양 모자 휴가 태양 보호 모자,"A. 여성용 렌벤 캔버스 슈즈, 학생들을 위한 봄 한국 스타일의 하라주쿠 스트리트 스타일 플랫 슈즈, 다용도 캐주얼 화이트 슈즈; B. 라피트 여성용 가방, 2019 여름 신상, 한국판, 패셔너블한 원숄더 크로스체인 스몰 스퀘어 백; C. Fondberyl/Faberyl 새로운 한 단어 스트랩 편안한 낮은 굽 슬리퍼 FB82110131; D. 좋은 품질의 틈새 일본 심플하고 우아한 챙이 넓은 차양 밀짚모자 아주 좋은 밀짚 어부 모자 세면대 모자 접이식; E. [Miss SASA] 여성용 맞춤형 여름 패션 캐주얼 태슬 엣지 전면 및 후면 지퍼 디자인 데님 반바지; F. GENANX 번개 트렌디 브랜드 남성용 6점 팬츠, 조임끈 포켓 장식 남성용 힙합 루즈 반바지, 한국 버전, 트렌디하고 멋짐; G. VANS 반스 클래식 남성 및 여성 신발 흑백 로우탑 Old Skool 캐주얼 스케이트보드 신발 VN-0D3HY28; H. Panda Ben 남성용 모조 면 및 린넨 반바지, 일본식 여름 바지 ifashion 루즈한 린넨 신축성 있는 트렌디한 캐주얼 바지; I. 뜨거운 바람에 젖지 마세요 2018 봄 신사 숙녀 레이스 업 캐주얼 슈즈 깊은 입 둥근 발가락 화이트 슈즈 H13W8103;",B,B,0,0.334,0.966
11208,12800,9,J,"[18531, 24847]","[14518, 18668, 1918, 10497, 15062, 6190, 28373, 19210, 1400, 12800]",1. Qiushui Yiren 2018 봄 가을 신상 여성 스퀘어 칼라 쉬폰 꽃무늬 레이스 업 프린트 작은 향기 드레스; 2. 한국 루나 인터넷 연예인 모조 진주 귀걸이 여성 기질 긴 귀걸이 새로운 기능 귀걸이 한국식 귀걸이 주얼리,"A. 여성용 와이드 웨빙 라피아 플랫 탑 밀짚 모자, 여름용 영국식 보우 탑 모자, 해변 여행용 짧은 챙 비치 모자; B. 옷 Tiancheng 2018 겨울 신상 한식 벨벳 자수 후드 게으른 스타일의 여학생용 스웨트 셔츠, 인기 최고; C. 2019 신한식 만능 섹시 한 단어 스트랩 선녀 샌들 작은 상큼한 하이힐 여성 여름 스틸레토 힐 D. Lady 사교계 여성 2018 가을 겨울 신상 하이웨이스트 스커트, 슬림 A라인 스커트, 스플라이스 슬림 원피스, 중간 길이; E. Belle/Belle Sandals Mall 같은 우아한 뾰족한 발가락 스틸레토 중공 여성 신발 BAH2AK7; F. 여성용 단부츠, 2018 가을 겨울 신상 플랫 첼시 부츠, 정품 가죽 젖빛 복고 마틴 부츠, 브리티시 앵클 부츠; G. Mantova Mantova 2019 뉴 로프트 유니섹스 여성화 영국 흰색 얕은 입 둥근 발가락 플랫 바닥 정품 가죽 여성; H. Drawstring 버킷 백 대용량 여성 2019 새로운 인터넷 연예인 같은 스타일 정품 가죽 MG 사슴 가죽 싱글 숄더 캐주얼 크로스 바디 백; I. 겨울 스포츠 신발 여성 벨벳 두꺼운 밑창 슈퍼 핫 다재다능한 아빠 신발 얼짱 하라주쿠 학생 인터넷 연예인 스마트 신발; J. Steve Madden/Simeiden 2018 여성 샌들 플랫 플러시 슬리퍼 아우터웨어 여성 SOFTEY",C,C,0,0.334,0.966
14200,16886,6,G,"[29032, 29124]","[12963, 550, 23108, 2558, 26738, 18050, 16886, 23669, 5285, 321]","1. 특별 정리, 환불 불가/터틀넥 스웨터 드레스, 스트레이트 내부 레이어, 여성용 슬림 스웨터 스커트; 2. [남부 스타일] 여성을위한 복고풍 방황 가방 2019 새로운 패션 다재다능한 간단한 여성 가방 원 숄더 크로스 바디 체인 백",A. 9월 Momo 2019 신상 가을 여성용 후드 스플리싱 윈드 브레이커 한국식 캐주얼 루즈 탑; B. Loxton 카운터 정통 여성용 시계 여성용 방수 텅스텐 스틸 여성용 시계 트렌디하고 패셔너블한 여성용 2019 새로운 팔찌; C. 여성 겨울 외투를 위한 슬립온 모피 신발 2018년 새로운 다재다능한 한국식 두꺼운 굽의 싱글 신발 여성을 위한 뾰족한 발가락 비니 신발에 벨벳을 더한 신발; D. 가을 겨울 여성 신상품 버킷백 2018 유행 한국판 휴대용 크로스바디 다용도 심플 대용량 패셔너블 숄더백; E. 여성용 여름방학 플랫 샌들 2019 새로운 스타일 로마 다목적 스트랩 클립 온 보헤미안 대학 스타일 술; F. FAIRY WANG 18 가을 겨울 여장 고급 입체 테일러링 패션 팬츠 /양복 바지 P18AW015; G. 인터넷 연예인 얇은 부츠 여성용 두꺼운 굽 짧은 부츠 2018 가을 겨울 신작 다용도 뒷면 지퍼 부츠 영국식 미드힐 마틴 부츠; H. [Miss SASA] 맞춤 봄 화이트 레이스 쉬폰 요정 실크 자수 드레스 멜빵 한국; I. 코끼리 사랑 야구 모자 캐주얼 다목적 Duckbill 모자 여성 여름 태양 보호 태양 그늘 모자 여행 야외 모자; J. Inman 신작 여성 봄 문학 스타일 자수 데님 오버올 여성용 루즈 스트레이트 바지,G,G,1,0.334,0.966
23312,27238,0,A,"[1932, 29124]","[27238, 24120, 9550, 27178, 29940, 13242, 29876, 14172, 23827, 25386]","1. Miaolu 2018 가을, 겨울 복고풍 플랫 힐 세련된 짧은 부츠 여성용 플랫 코튼 신발 학생 백 레이스 업 스트레치 마틴 부츠; 2. [Southern Wind] 레트로 방황 가방 여성 2019 새로운 패션 다목적 간단한 여성 가방 어깨 크로스 바디 체인 가방","A. 희귀 확률 기질 안개 블루 중공업 실루엣 윈드 브레이커 여성용 긴 무릎 위 비대칭 디자인 투피스 재킷; B. MG Little Elephant 여성용 맞춤형 하이웨이스트 청바지 루즈한 2019 새로운 시크 스트레이트 팬츠, 날씬한 허리 밴드와 로우 엣지 팬츠; C. 갈리노의 새로운 2색 작은 향기로운 신발은 두꺼운 굽을 매치해 같은 스타일의 유럽과 미국 여성의 하이힐을 배색해 얕은 입 사각 발가락을 매치했다. D. 넓은 사이드 포켓이 돋보이는 남성용 치니즘 봄 캐주얼 팬츠, 스몰 레그 팬츠, 심플한 루즈한 레깅스와 트렌디한 팬츠; E. 여성용 스노우 부츠 2018 새로운 스타일 양피 모피 올인원 미끄럼 방지 방수 겨울 신발 여성용 면화 플랫 짧은 부츠; F. 비즈 장식 조각 물결 무늬 레이스업 허리 슬리밍 캐주얼 드레스 k; G. 2018 신형 가을 라운드 발가락 두꺼운 굽 싱글 슈즈 여성 만능 짧은 부츠 패션 양가죽 하이힐 유럽 역; H. Handu Yishe 2018 한국 여성 가을 ​​의류 신형 스탠드 칼라 스트라이프 긴팔 중간 길이 드레스 EK8282囡; I. 블루 복고 슬림 모직 코트 두꺼운 중간 길이 모직 코트 가을 겨울 여성 20199 새로운 스타일; J. ECCO 봄 둥근 발가락 두꺼운 굽 여성 통근 얕은 입 정장 여성 구두 조각 45 230203",A,A,1,0.334,0.966
25705,17003,2,C,"[15228, 28196]","[3574, 6882, 17003, 17717, 30754, 2991, 19062, 443, 20406, 16014]",1. Xiaorui 아름다운 가방과 색상이 일치하는 마름모 가방 여성 2019 새로운 스타일의 간단한 다재다능한 크로스 바디 가방 어깨에 매는 가방 여성을 위한 작은 가방; 2. [50%할인] 슬림슬림 진 여성 일자바지 그레이 하이웨이스트 얇은 벨벳 앵클릿 9분바지,"A. [CEBOSTIN] 어디가요 1021A1286 컬러블록 핸드헬드 원숄더 크로스 소가죽 윙백; B. 고급 귀걸이, 여성스러운 롱 스타일, 인터넷 스타 925 실버 귀걸이, 패셔너블한 술 귀걸이, 슈퍼 선녀 귀걸이; C. ins 여성화, 홍콩 스타일, 인터넷 스타 싱글 슈즈, 2019 가을 캐주얼 스포츠 여성 가죽 아빠 슈즈, 플랫폼 슈즈 D. Weiluku 2019 봄 정품 가죽 하이힐 통근 검은 나비 유럽의 아름다움 신발 스틸레토 섹시한 여성 싱글 슈즈; E. 대학 스타일 메달 V 넥 스웨터 여성 2018 새로운 가을, 겨울 바닥 스웨터 스웨터 루즈한 짧은 탑 일본식; F. 2019 봄 가을 신상 오프 숄더 셔츠 여성용 슬림핏 가짜 투피스 탑 스플라이스 불규칙 스트라이프 셔츠; G. Kokraft 정품 가죽 한국식 올 매치 화이트 슈즈 2018 신상 봄 여름 여성용 내부 고조 플랫폼 플랫폼 캐주얼 슈즈; H. 찢어진 데님 9부 팬츠 여성 2018 봄 가을 신상 패션 불규칙한 생 엣지 자수 슬림 청바지 I. GUCCI/구찌 GG MARMONT 솔리드 컬러 펄 더블 GLOGO 장식 소가죽 여성용 숄더 크로스백; J. Handu Yishe 2018 여름 신작 여성 한국식 중공 반팔 서스펜더 원 숄더 드레스 IG8156",B,B,0,0.334,0.966
5022,23203,5,F,"[24914, 30641]","[6272, 16494, 6289, 6483, 18707, 23203, 30696, 23641, 10981, 8691]","1. GOMEQI 2018 신상 가을 겨울 한식 슬림 부츠, 스웨이드 두꺼운 굽 작은 굽 짧은 부츠, 여성용 캐주얼 하이힐 부츠 2. 울 함량 최대 90%의 AI 프렌치 레트로 베레모, 가을 겨울 여성 화가 모자 모직 호박 모자","A. 안샤오뤄의 봄 신상 여성복 홈메이드 모직 체크 스커트, 활용도가 높은 루즈한 A라인 우산 스커트; B. Swarovski BETTER 클로버 펜던트 목걸이, 여성용 쇄골 체인, 여자 친구 선물; C. 왼쪽 여사, 새로운 고급 기질의 여성복, 유럽과 미국의 유명 브랜드의 날씬한 슬림 자수 레이스 원피스; D. 여성용 선인장 귀걸이, 925 스털링 실버 기질 미니 귀걸이, 일본과 한국의 작은 귀뼈 손톱, 비대칭 다용도 귀걸이; E. LIN CHAO ZHANG 아일랜드 리조트 스타일의 슬림 브이넥 우아한 실크 프린트 꽃무늬 드레스; F. JACD 틈새 벨벳 크로스백 2019 신형 태국 자수 아코디언 가방 체인 숄더백 스웨이드 여성 가방 G. 일리 그레이 2018 신형 사각 발가락 하이힐 스틸레토 니트 양말 부츠 여성 가을 ​​겨울 날씬한 고양이 굽 부츠 H. Miffy 미니 쉘백 작은 상큼한 휴대용 숄더백 2019 신상 크로스바디 핸드백 여성 한국어판 다용도; I. Belle/Belle Mule 신발 봄 몰 스타일 양가죽 백 중공 플랫 힐 여성 샌들 BNUA2AH7; J. [VNOOK2018 겨울 신상품] 후드 울 스웨터 소프트 칼라 버튼 울 풀오버 스웨터 여성 2가지 색상",A,A,0,0.334,0.966
19001,29328,5,F,"[5502, 20676]","[22717, 24875, 20158, 26511, 27375, 29328, 15813, 8432, 11914, 3505]",1. 한국판 2018 여름 패션과 트렌디한 여성 핸드백 달콤한 리본 핑크 반짝이 에나멜 가죽 여성 가방; 2. 벨쇼핑몰 동스타일 여성부츠 두꺼운 굽 양말부츠 숏부츠 미드부츠 BAG60DZ7,"A. Hazen 가을 겨울 소가죽 한국식 트렌디한 화이트 슈즈, 여성용 레이스업 플랫 캐주얼 스니커즈 HS78403; B. Handu Yishe 2019 봄 신상 여성 레이스 피쉬테일 부드러운 선녀 스커트 밑단 스커트 GJ7669 Tsuen; C. 9월 모모 2019 여름 신상 여성 티셔츠 서스펜더 쉬폰 원피스 중장 투피스 양복 D. 레이디스 브이넥 허리 슬림 레이스 점프수트 와이드팬츠 트렌디K; E. 업그레이드 핫 스타일이 왔습니다 ~ 매우 슬림하고 까다롭지 않은 고탄성 신축성 있는 허리 두꺼워진 브러시드 청바지 여성용 바지; F. 얼굴을 가늘게 보이게 하는 발레 소녀용 여성용 긴 귀걸이, 둥근 얼굴에 적합, 한국식 귀걸이, 과장된 귀걸이; G. Daphne/Daphne 17 편안한 두꺼운 굽 연회 하이힐, 라인스톤 플라워 스웨이드 원스트랩 여성 샌들; H. 한국판 얼짱 다용도 ​​벨벳 숄더백, 패셔너블한 기질의 소녀 크로스백, 개성 있는 자물쇠 체인 작은 가방; I. Daila 925 은바늘 긴 여성용 귀걸이, 기질 인터넷 연예인 귀걸이 피어싱 없음, 모조 진주, 고급 귀고리; J. Huajian Shang/Shuo Feng 복고풍 중화민국 스타일 루즈한 투피스 치파오 드레스 시안 2018 봄 여름 새로운 스타일",B,B,0,0.334,0.966
23312,17404,3,D,"[1932, 29124]","[5699, 6914, 14828, 17404, 27597, 9827, 17087, 19728, 26859, 18921]","1. Miaolu 2018 가을, 겨울 복고풍 플랫 힐 세련된 짧은 부츠 여성용 플랫 코튼 신발 학생 백 레이스 업 스트레치 마틴 부츠; 2. [Southern Wind] 레트로 방황 가방 여성 2019 새로운 패션 다목적 간단한 여성 가방 어깨 크로스 바디 체인 가방",A. 세미 드레스 여성 2018 신상 여름 정장 드레스 투피스 로맨틱 레이스 서스펜더 스커트 티셔츠 스커트; B. 여성용 두꺼운 굽 샌들 여름 한국식 원 버튼 미드 힐 뾰족한 발가락 가죽 누드 토 캡 싱글 슈즈 미색 작업화; C. 제프리 캠벨 퍼플 새틴 핑크 다이아몬드 지적 발가락 로우힐 샌들 18 봄 여름 신상품 D. Wen Wenting 2019 신상 가을 겨울 하이웨이스트 슬림 골드 벨벳 팬츠 블랙 드레이프 와이드 스트레이트 팬츠 E. 9월 Momo 2019 여름 신상 여장 한복 스트라이프 원피스 여성 중장 캐주얼 스탠드 칼라 a라인 F. Ziqing 망토 모직 코트 여성용 중간 길이 한국 버전 2018 겨울 신상 소형 인기 코트 양면; G. 2018 봄 신상 루즈한 숲 스타일 문예 복고 하이웨이스트 셔츠 긴팔 원피스 긴 스커트 H. jadyrose 하이힐 뾰족한 발가락 슬리퍼 발가락 발가락 샌들 여성용 여름 외투 유행 노새 두꺼운 굽 여성용 가죽 샌들; I. Yipintiancheng 2019 봄 신상 한국 스타일 패셔너블한 슬림 오프숄더 풀오버 스웨터 하라주쿠 여성용 스웨터; J. 메이시스 여학생 심플 패션 트렌드 방수 시계 여성용 다이아몬드 시계 Anne Klein161001588,D,D,1,0.334,0.966
23040,22455,3,D,"[1215, 10858]","[8435, 4441, 4061, 22455, 6222, 1361, 13823, 781, 15613, 20473]","1. [3개 이상 200위안] Sukol 걸 스커트 투피스 세트, 중간 길이, 인기 있는 대학 비치 드레스; 2. 2019 신상 여성 가방 한국판 ins 초인기 복고 두부 가방 상자 작은 사각형 가방 다용도 스튜어디스 숄더 크로스백","A. 가을 겨울 바닥 니트, 무릎 위의 긴 스커트에 코트, 프렌치 틈새 드레스 인형, 복고적이고 두꺼운; B. 뜨거운 바람이 불지 않도록 2018 가을 상큼한 뾰족한 여성 플랫 슈즈, 얕은 입 버클 싱글 슈즈 H01W8528; C. 뿌리 깊은 편안함, 단추 장식, 목이 높고 움푹 패인 양모 스웨터, 쌀 벌레는 밥을 먹는 것을 좋아합니다. D. Hot Breeze 봄 새 스타일 작은 신선한 흰색 신발 여성 플랫 하라주쿠 신발 레이스 업 패션 여성 캐주얼 신발 유행 H14W7110; E. 스트라이프 셔츠 여성 긴 소매 2018 봄 의류 새로운 느슨한 한국 스타일 다목적 학생 세련된 슈퍼 핫 셔츠; F. 가방 여성용 2019 신작 가을, 겨울 정품 가죽 여성용 가방 2019 다목적 크로스 바디 백 다이아몬드 체인 미니 백 유행; G. Meow 복고풍 두꺼운 굽 둥근 발가락 레이스업 싱글 슈즈 여성용 2018 신형 가을 대학 스타일 미드힐 정품 가죽 유니폼 작은 가죽 신발; H. Zhang Jingyi Douyin 같은 스타일! 여성을 위한 한국식 콜드 스타일 슬림 허리리스 민소매 중간 길이 A 라인 드레스; I. MIUCO 패셔너블한 중공 시크 스커트 +기하학적 니트 스커트 드레스 투피스 세트 k; J. Xixi Xiao 여성 가을 ​​겨울 맞춤형 랜턴 슬리브 스웨터 2018 새로운 한국어 버전 달콤한 중간 길이 카디건 재킷 트렌드",D,D,1,0.334,0.966
