view,order,item_id,english_title,original_title,image_available,image
IBxBI_candidate_C_context,1,15382,Wrong top prediction: light denim jacket,MG小象小清新牛仔外套女宽松春季2019新款休闲短款夹克chic上衣潮,True,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\case_study_slide_assets\pog_dense_bundle_11208_context_evidence\IBxBI_candidate_C_context\1_15382.png
IBxBI_candidate_C_context,2,5643,IBxBI context: white sneakers,common小白鞋女2019春款真皮洋气清新百搭透气平底情侣纯皮面板鞋,False,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\case_study_slide_assets\pog_dense_bundle_11208_context_evidence\IBxBI_candidate_C_context\2_5643.png
IBxBI_candidate_C_context,3,30318,IBxBI context: long statement earrings,复古少女心金箔亚克力耳环女韩国气质长款个性纯银耳坠耳饰R014,True,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\case_study_slide_assets\pog_dense_bundle_11208_context_evidence\IBxBI_candidate_C_context\3_30318.png
IUxUI_candidate_C_context,1,15382,Wrong top prediction: light denim jacket,MG小象小清新牛仔外套女宽松春季2019新款休闲短款夹克chic上衣潮,True,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\case_study_slide_assets\pog_dense_bundle_11208_context_evidence\IUxUI_candidate_C_context\1_15382.png
IUxUI_candidate_C_context,2,127,IUxUI context: chain crossbody bag,【南风】车缝线链条包包女2019新款夏季时尚休闲女包单肩包斜挎包,True,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\case_study_slide_assets\pog_dense_bundle_11208_context_evidence\IUxUI_candidate_C_context\2_127.png
IUxUI_candidate_C_context,3,23690,IUxUI context: chiffon dress,雪纺连衣裙女2018夏季新款碎花小清新印花大摆显瘦过膝长裙中长款,True,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\case_study_slide_assets\pog_dense_bundle_11208_context_evidence\IUxUI_candidate_C_context\3_23690.png
IUxUI_candidate_C_context,4,24365,IUxUI context: French vintage dress,连衣裙2019新款夏法国维多利亚法式复古裙山本过膝宫廷气质桔梗裙,False,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\case_study_slide_assets\pog_dense_bundle_11208_context_evidence\IUxUI_candidate_C_context\4_24365.png
BIxIB_retrieved_outfit_context,1,12800,GT: flat fur slippers,Steve Madden/思美登2018凉拖女鞋平底一字毛绒拖鞋外穿女SOFTEY,True,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\case_study_slide_assets\pog_dense_bundle_11208_context_evidence\BIxIB_retrieved_outfit_context\1_12800.png
BIxIB_retrieved_outfit_context,2,29602,BIxIB context: flat pointed shoes,STELLA LUNA秋季平底露娜女鞋百搭乐福鞋尖头平跟浅口深口ins单鞋,False,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\case_study_slide_assets\pog_dense_bundle_11208_context_evidence\BIxIB_retrieved_outfit_context\2_29602.png
BIxIB_retrieved_outfit_context,3,14273,BIxIB context: fur flat slippers,秋季新款毛毛柳钉港风拖鞋女夏时尚外穿百搭平底chic网红凉拖鞋女,False,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\case_study_slide_assets\pog_dense_bundle_11208_context_evidence\BIxIB_retrieved_outfit_context\3_14273.png
