bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,hit
19206,30641,4,E,"[14625, 20060]","[2269, 21958, 12141, 16607, 30641, 28694, 2772, 19943, 5567, 18296]",1. 网红雪地靴女2018新款短筒马丁靴学生保暖加厚棉鞋女冬加绒靴子女; 2. 伊米妮2019新款高级感包包港风复古手提斜挎方包简约时尚百搭女包,A. AK男装 秋季新款都市特工粗方格简约男士休闲长袖衬衫; B. 2019春季新款 个性徽章暗黑系衬衫 韩版帅气衬衣女; C. 波点连衣裙2018新款女雪纺秋装中长款慵懒风显瘦复古港味裙子长裙; D. MASOOMAKE英伦风松糕厚底弹力袜靴女 2018新款秋冬百搭复古马丁靴; E. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子; F. 热风2018年夏新款小清新女士平底软木拖休闲拖鞋凉拖女鞋H60W8610; G. 黑色牛仔裤女秋冬新款韩版显瘦紧身小脚高腰冬季加厚加绒裤子#; H. MASOOMAKE老爹鞋女韩版ulzzang原宿百搭网红做旧松糕厚底运动鞋女; I. 勿上热风2018秋季学院风系带女士休闲鞋平底圆头小白鞋H14W8519; J. 连衣裙秋女2018新款韩版气质宽松imiss小清新休闲初恋裙子中长款,ERR,0
10329,16977,8,I,"[13625, 21079]","[29506, 9022, 27629, 9292, 15454, 10435, 16925, 24269, 16977, 20110]",1. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501; 2. 迷藏/纯手工捏褶100%斜纹天丝绒复古绿显瘦无袖连衣裙,A. 于momo2018秋装新款破洞毛边牛仔裤女学生港味喇叭裤显瘦初恋裤子; B. 包头水钻亮片尖头小清新高跟鞋少女一字扣带女夏细跟凉鞋猫跟5cm; C. DK尤物 针织半身裙a字裙高腰中长款裙子黑色百褶裙女2018秋冬新款; D. GENANX闪电潮牌oversize外套国潮风衣情侣春季时尚新款冲锋衣男潮; E. BDCT自制 秋季潮牌束脚裤男九分裤 复古裤子男宽松小脚休闲工装裤; F. 【Monkey LU】卢小猴针织抹胸型腰封女2018夏修身显瘦弹力收腹带; G. K家条纹阔腿裤女春夏薄款松紧腰垂感百搭显瘦2019新款休闲裤长裤; H. MISS FLY2019春新开叉修身小脚裤女金属圈高腰显瘦弹力九分铅笔裤; I. T400字母手链女纯银镶嵌施华洛世奇锆石小众设计生日礼物招桃花运; J. why包包女新款流行时尚小方包YA8042单肩包链条斜挎包包小包,ERR,0
14116,13704,7,H,"[3296, 21797]","[30919, 11295, 8230, 20898, 18889, 12086, 9448, 13704, 24521, 2916]",1. 【南风】黑色极简小方包2018新款时尚简约女包单肩包斜挎包小包包; 2. deessesicile夏日新款复古时髦几何圆环白蝶贝925银针耳环/耳钉,A. 红袖女装2018秋季新款休闲纯色双排扣口袋翻领一手长风衣外套女折; B. 2018夏季新款女装潮时尚圆领短袖超仙甜美收腰显瘦温柔a字连衣裙; C. 毛线针织纯色休闲女士包头帽女冬季加厚保暖女款帽子兔毛冬款冬帽; D. 梵花不语原创文艺帆布包百搭帆布单肩包帆布手提包女士包包袋; E. 谷家 春季新款加绒加厚短款女装外套 保暖牛仔上衣; F. GENANX闪电潮牌堆堆领毛衣男士韩版宽松不规则下摆扭花套头针织衫; G. 天美意夏季新款商场同款羊绒皮一字带粗跟女凉鞋AO821BL7; H. 【顺丰包邮】特价清仓不退换/毛毛领加绒厚外套女休闲宽松大风衣; I. 北包包小包包女2019新款韩版新款少女斜挎包链条百搭迷你学生单肩; J. 【南风】牛皮真皮手提包女包包2019新款时尚百搭秋冬单肩包斜挎包,G,0
20472,11158,6,G,"[12625, 13625]","[27345, 9642, 20413, 15459, 1084, 2159, 11158, 5585, 28464, 20305]",1. 【GP韩国正品】MLB棒球帽春夏调节款NY鸭舌帽男女白黑色弯檐帽子; 2. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501,A. 【11.11零点6折清仓】衣品乐大码文艺镂空褶皱七分袖连衣裙宽松; B. 韩都衣舍2018韩版女装秋装新款直筒毛边休闲牛仔裤HO10344魭; C. 伊芙丽卫衣连帽2019春装新款韩版宽松套头休闲女装慵懒风上衣; D. 从一 气质修身赫本风连衣裙复古白色连衣裙吊带裙女夏超仙中长款; E. EP雅莹 2018秋季新女时髦不规则裤脚毛边喇叭裤牛仔裤EJDAD6607A; F. 韩都衣舍2018夏天新衣服网红同款上衣女显瘦露肩英文港味短袖t恤; G. 韩都衣舍2018秋装新款女装韩版加绒加厚打底长袖连衣裙IG8200僥; H. 水桶包女2019新款韩版简约百搭大容量单肩包斜跨包包休闲子母包潮; I. 素木原创大码 连帽格子宽松棉衣女冬2018新款中长款棉服女JY3394; J. 麻霖文艺原创棉麻女装2019春夏新款亲子亚麻收腰长款七分袖连衣裙,C,0
5412,3882,7,H,"[11074, 15268]","[25718, 8648, 8479, 12626, 30641, 13830, 4084, 3882, 13396, 30157]",1. SNIDEL画册款杂志款编织手提/单肩包【商场同款】; 2. 缪吉娜羊反绒交叉系带鱼嘴 露趾高跟凉鞋女夏 细跟罗马鞋裸色黑色,A. 冬季韩版2018流行咖色格子毛呢外套女中长款宽松学生呢子大衣秋冬; B. 北冥有渔原创【繁星入梦】蝴蝶结甜美公主裙珍珠蕾丝两件套连衣裙; C. 帽子女休闲清新甜美韩版潮青年玫瑰花黑白色遮阳韩国鸭舌帽棒球帽; D. 韩国个性长款线形五角星耳环耳线 气质百搭新款星星大耳钉耳坠女; E. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子; F. 13宜 大牌的黑白格子提花半身裙中裙 下摆的流苏真心美~~; G. 雪纺灯笼裤女夏季新款薄款哈伦裤大码防蚊裤空调裤运动休闲裤早秋; H. 韩版毛边拉菲草帽子女夏海边度假草帽大檐沙滩帽防晒遮阳帽夏天潮; I. 毛呢长裤女秋2018新款休闲垂感显瘦直筒裤子九分高腰宽松阔腿裤; J. 【南风】千鸟格拼接风琴包女包2018新款斜跨包ins超火包链条包包,F,0
8319,30641,8,I,"[21821, 21822]","[21909, 19403, 8500, 23042, 7829, 13141, 205, 12724, 30641, 14687]",1. 【南风】复古绒面斜纹手提包包女2018新款单肩斜挎时尚女包链条包; 2. 2018新款平底短靴女切尔西女靴子冬季棉鞋百搭裸靴网红马丁靴瘦瘦,A. 原创森女部落假两件可爱卫衣2019秋装新款韩版学生套头上衣女生系; B. MG小象牛仔裤女春2019新款韩版显瘦宽松背带裤学生chic直筒裤复古; C. 卓诗尼女鞋2019春季新款时尚百搭粗跟单鞋英伦风中跟软妹小皮鞋女; D. 张贝贝ibell2018春秋韩版新款女装套头连帽长袖宽松bf风纯色卫衣; E. 百思图2018春季新款专柜同款金属扣女乐福鞋小皮鞋女REL20AM8; F. left lady 时尚披肩中长款修身显瘦连衣裙包臀裙新款高端气质女装; G. 2019春季新款显瘦白色牛仔裤港味九分直筒裤子时尚百搭直筒小脚裤; H. 不起球不掉档！收腹提臀连袜裤 新款无缝打底裤秋冬一体裤袜子潮; I. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子; J. 天美意夏商场同款牛皮一字带厚底平底女凉鞋6Z919BL7,I,1
20372,15971,9,J,"[24847, 29574]","[19986, 15203, 30005, 28318, 8098, 12766, 27241, 14286, 31153, 15971]",1. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品; 2. AI 法式特细巴拿马帽手工编织遮阳草帽 春夏优雅爵士男女太阳帽,A. 2018新款秋冬季加厚款加绒卫衣女连帽韩版宽松长袖港风卫衣中长款; B. 【SASA小姐】定制 夏款时尚随性流苏边前后拉链设计牛仔短裤女; C. 黑色耳环925银耳针韩国耳饰品简约百搭水晶耳坠气质耳钉女; D. CHACHA极简主义黑色连衣裙宽松休闲过膝娃娃裙chic衬衫长裙; E. 2018秋冬新款西装领双排扣毛呢外套女中长款宽松显瘦茧型呢大衣; F. 逸阳打底裤女外穿春秋薄款2019新款小脚紧身显瘦黑色铅笔高腰裤子; G. [VNOOK2019春新款]基础百搭 单穿内搭长袖侧开叉圆领T恤 女三色; H. ZENGLIU撞色三角形耳环耳钉女气质韩国个性简约百搭少女心ins耳饰; I. 夏天仙女小包包女2018新款潮韩版百搭斜挎包透明手提包链条单肩包; J. TEENLADY原创女包欧洲站菱格链条包女小方包斜挎包小包包百搭个性,I,0
2343,15481,2,C,"[4129, 23319]","[8931, 26817, 15481, 9315, 30765, 23193, 9178, 24821, 6449, 16412]",1. 厚底马丁靴女系带真皮2018秋冬季新款松糕女鞋子百搭短靴圆头粉色; 2. 宿本 森系毛呢大衣2018秋冬季新款女学生中长款加厚呢子外套复古,A. PINZIKO 2018秋季新款宽松显瘦浅色高腰阔腿九分裤牛仔长裤女 T25; B. 欧洲站2018新款100%羊绒衫女高领毛衣慵懒宽松套头加厚羊毛针织衫; C. 小瑞靓包菱格链条包包女2019新款软皮手提单肩小包时尚百搭斜挎包; D. 时尚水钻宴会女鞋2019春季新款后拉链高跟鞋细跟尖头浅口鞋单鞋女; E. 用心推荐！客供新型纱  超有范  飘逸双插兜及踝半裙; F. 云上生活条纹V领腰部系带连衣裙慵懒风显瘦裙子夏L5017; G. 原创设计森女部落喵的小确幸帅气浅色牛仔长裤2019春季新款女裤系; H. 秋日暖阳 秋装新款廷外自制复古文艺舒适百搭毛衣毛衫; I. 无有无印秋冬新款修身针织衫圆领木耳边套头针织打底衫毛衣女085; J. 牛仔连衣裙中长款2018新款春装suko少女格子衬衫初恋冷淡风裙子潮,ERR,0
24296,4586,2,C,"[13625, 27165]","[13899, 13555, 4586, 15750, 772, 18764, 12625, 797, 24444, 17573]",1. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501; 2. 韩都衣舍2018新款女装夏装韩版显瘦阔腿九分裤牛仔裤女HO7333魭,A. 勿上热风2018秋季毛毛女士休闲鞋尖头粗跟浅口平底鞋H01W8536; B. 2018新款面包服韩版bf字母宽松棉衣女连帽长袖加厚棉服@; C. ins格子衫女原宿风2019新款春装宽松红色学院风衬衣复古港风上衣; D. 2018秋季新款时尚百搭毛毛绒面女鞋方头蝴蝶结浅口平底鞋单鞋女夏; E. 【锦瑟年华】吉祥羽儿原创新款真丝香云纱连衣裙夏季复古宽松裙子; F. 高跟鞋女早春2019新款铆钉性感女鞋少女尖头细跟绒面浅口百搭单鞋; G. 【GP韩国正品】MLB棒球帽春夏调节款NY鸭舌帽男女白黑色弯檐帽子; H. 花栗鼠小姐 牛仔裤女春秋2019新款韩版显瘦高腰复古chic直筒裤; I. JOY 小众品味中跟凉鞋 真皮细带一字带anna同款尖头小猫跟凉拖鞋; J. Armani官方阿玛尼满天星手表女镶钻星空手表 潮流女士腕表AR1926,C,1
23200,19373,9,J,"[18161, 30967]","[18302, 19790, 27958, 18948, 29874, 19065, 9757, 9171, 24887, 19373]",1. MG小象高腰阔腿裤牛仔短裤女夏2018新款韩版宽松显瘦休闲破洞热裤; 2. Danielwellington 丹尼尔惠灵顿dw手表女32mm金属编织女表,A. 超火早秋衬衫女2018新款心机上衣设计感小众inspolo衬衣红色长袖; B. 罗家RMOJUL 2018春装女装新款 喇叭袖水溶拼接网纱百褶裙连衣裙SW; C. 卡洛美饰品 双面大小红色耳钉前后佩戴女生耳环 韩国简约气质耳饰; D. 韩都衣舍2018韩版女装秋装新款学生宽松BF上衣潮卫衣JW11064筱; E. 步步惊情 刘诗诗同款耳环木兰喇叭花长款耳坠925纯银防过敏古风饰; F. 奈看 2018春季新款复古原创甜美蝴蝶结细带格子连衣裙宽松学院风; G. 草莓晶招桃花运粉水晶手链女韩版简约个性纯银本命年转运珠手串; H. 韩都衣舍2018韩版女装夏装新款显瘦宽松chic两件套连衣裙JN7375埕; I. 女包2018新款韩版潮透明果冻包百搭文艺帆布大包手提包单肩斜挎包; J. MG小象白色t恤女短袖夏装2018新款纯棉衣服宽松体恤chic港味上衣,ERR,0
