example_type,row_idx,bundle_id,true_indice,true_option_char,prediction,hit,input_gt_rank,input_gt_sim,input_neg_sim_max,input_gt_margin_vs_best_neg,input_semantic_top_option_idx,input_semantic_top_item,pred_input_rank,gt_to_distractor_sim_max
easy_hit_semantic_top1,242,2224,47422,E,E,1,1,0.7218477129936218,0.43011775612831116,0.29172995686531067,4,47422,1,0.40071237087249756
easy_hit_semantic_top1,117,15318,26056,C,C,1,1,0.7411417961120605,0.5970441699028015,0.14409762620925903,2,26056,1,0.5950871109962463
easy_hit_semantic_top1,143,18741,36621,I,I,1,1,0.6443310379981995,0.5199381113052368,0.12439292669296265,8,36621,1,0.38500553369522095
easy_hit_semantic_top1,186,14942,1339,G,G,1,1,0.5814626216888428,0.4725901782512665,0.1088724434375763,6,1339,1,0.6487730145454407
easy_hit_semantic_top1,66,5453,6880,E,E,1,1,0.576393723487854,0.48059365153312683,0.09580007195472717,4,6880,1,0.4775999188423157
easy_hit_semantic_top1,160,7780,4897,D,D,1,1,0.625710129737854,0.5500959157943726,0.07561421394348145,3,4897,1,0.5778747797012329
easy_hit_semantic_top1,205,12144,14788,C,C,1,1,0.6340739727020264,0.5614800453186035,0.07259392738342285,2,14788,1,0.6632289290428162
easy_hit_semantic_top1,47,9993,5783,D,D,1,1,0.5060243010520935,0.43528783321380615,0.07073646783828735,3,5783,1,0.5356308221817017
easy_hit_semantic_top1,243,983,41414,H,H,1,1,0.41032129526138306,0.34045934677124023,0.06986194849014282,7,41414,1,0.5472858548164368
easy_hit_semantic_top1,23,11406,10008,B,B,1,1,0.6749342083930969,0.605318546295166,0.06961566209793091,1,10008,1,0.6118101477622986
hard_miss_gt_low_rank,17,6154,22634,H,C,0,10,0.4108089804649353,0.5431225299835205,-0.1323135495185852,9,10778,7,0.46865367889404297
hard_miss_gt_low_rank,194,17574,46097,F,C,0,10,0.23711925745010376,0.4852820932865143,-0.24816283583641052,8,46600,9,0.38031166791915894
