semantic_rule,n,hit_baseline_n,hit_baseline_acc,hit_intent_prompt_n,hit_intent_prompt_acc,hit_delete_prompt_n,hit_delete_prompt_acc,hit_image_text_n,hit_image_text_acc,hit_delete_image_text_n,hit_delete_image_text_acc,hit_intent_image_text_n,hit_intent_image_text_acc,hit_co_occer_cf_n,hit_co_occer_cf_acc,hit_user_prefer_cf_n,hit_user_prefer_cf_acc
category_completion / cooccurrence_shortcut,36,36,0.4722222222222222,36,0.4722222222222222,36,0.4722222222222222,36,0.4166666666666667,36,0.4722222222222222,36,0.2777777777777778,36,1.0,36,0.4722222222222222
category_completion / weak_or_no_rule_signal,35,35,0.2571428571428571,35,0.2857142857142857,35,0.3142857142857143,35,0.2571428571428571,35,0.34285714285714286,35,0.2857142857142857,35,0.17142857142857143,35,0.2571428571428571
season_match / cooccurrence_shortcut,35,35,0.42857142857142855,35,0.4,35,0.37142857142857144,35,0.34285714285714286,35,0.34285714285714286,35,0.3142857142857143,35,0.9714285714285714,35,0.45714285714285713
style_theme_match / cooccurrence_shortcut,33,33,0.24242424242424243,33,0.24242424242424243,33,0.36363636363636365,33,0.30303030303030304,33,0.2727272727272727,33,0.3333333333333333,33,0.9696969696969697,33,0.42424242424242425
style_theme_match / weak_or_no_rule_signal,27,27,0.18518518518518517,27,0.18518518518518517,27,0.2222222222222222,27,0.25925925925925924,27,0.2222222222222222,27,0.25925925925925924,27,0.037037037037037035,27,0.2222222222222222
season_match / weak_or_no_rule_signal,22,22,0.36363636363636365,22,0.36363636363636365,22,0.36363636363636365,22,0.3181818181818182,22,0.3181818181818182,22,0.3181818181818182,22,0.13636363636363635,22,0.2727272727272727
category_completion / popularity_shortcut,17,17,0.4117647058823529,17,0.35294117647058826,17,0.4117647058823529,17,0.35294117647058826,17,0.35294117647058826,17,0.29411764705882354,17,0.35294117647058826,17,0.35294117647058826
style_theme_match / popularity_shortcut,15,15,0.26666666666666666,15,0.3333333333333333,15,0.4,15,0.3333333333333333,15,0.2,15,0.13333333333333333,15,0.26666666666666666,15,0.3333333333333333
gender_or_age_filtering / cooccurrence_shortcut,6,6,0.6666666666666666,6,0.8333333333333334,6,0.6666666666666666,6,0.6666666666666666,6,0.6666666666666666,6,0.8333333333333334,6,1.0,6,1.0
season_match / popularity_shortcut,5,5,0.4,5,0.2,5,0.4,5,0.2,5,0.2,5,0.4,5,0.6,5,0.8
category_completion / hard_negative_like,5,5,0.0,5,0.0,5,0.2,5,0.0,5,0.0,5,0.0,5,0.2,5,0.0
brand_or_collection_match / weak_or_no_rule_signal,4,4,0.75,4,0.75,4,0.75,4,0.75,4,0.75,4,0.75,4,0.75,4,0.75
style_theme_match / hard_negative_like,4,4,0.0,4,0.25,4,0.5,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
brand_or_collection_match / cooccurrence_shortcut,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
ambiguous_or_counterintuitive_gt / cooccurrence_shortcut,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1.0,1,0.0
brand_or_collection_match / hard_negative_like,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
color_material_pattern_match / cooccurrence_shortcut,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1.0,1,1.0
season_match / hard_negative_like,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
