example_type,row_idx,bundle_id,true_indice,true_option_char,prediction,hit,input_gt_rank,input_gt_sim,input_neg_sim_max,input_gt_margin_vs_best_neg,input_semantic_top_option_idx,input_semantic_top_item,pred_input_rank,gt_to_distractor_sim_max
easy_hit_semantic_top1,112,8256,3261,A,A,1,1,0.8025404214859009,0.3602742552757263,0.44226616621017456,0,3261,1.0,0.29453223943710327
easy_hit_semantic_top1,45,2642,60961,F,F,1,1,0.8009768724441528,0.38828426599502563,0.4126926064491272,5,60961,1.0,0.33179304003715515
easy_hit_semantic_top1,240,6105,120683,G,G,1,1,0.7742759585380554,0.3865063190460205,0.3877696394920349,6,120683,1.0,0.35671842098236084
easy_hit_semantic_top1,38,10079,59502,F,F,1,1,0.8074528574943542,0.42159777879714966,0.3858550786972046,5,59502,1.0,0.37580281496047974
easy_hit_semantic_top1,5,6673,113141,C,C,1,1,0.8229199647903442,0.43993276357650757,0.38298720121383667,2,113141,1.0,0.38847312331199646
easy_hit_semantic_top1,171,3351,210310,E,E,1,1,0.7542364597320557,0.39990031719207764,0.354336142539978,4,210310,1.0,0.40031924843788147
easy_hit_semantic_top1,79,1851,59649,D,D,1,1,0.7371770143508911,0.4010934829711914,0.3360835313796997,3,59649,1.0,0.35308921337127686
easy_hit_semantic_top1,134,4615,60556,H,H,1,1,0.7431182861328125,0.43132439255714417,0.31179389357566833,7,60556,1.0,0.30526405572891235
easy_hit_semantic_top1,53,6824,6845,B,B,1,1,0.7278057336807251,0.43499141931533813,0.29281431436538696,1,6845,1.0,0.3252788186073303
easy_hit_semantic_top1,6,4815,211509,B,B,1,1,0.6779667735099792,0.4125896692276001,0.26537710428237915,1,211509,1.0,0.37257206439971924
hard_miss_gt_low_rank,42,4094,77035,H,E,0,10,0.22795891761779785,0.5085482001304626,-0.2805892825126648,2,162795,2.0,0.26695308089256287
hard_miss_gt_low_rank,59,11436,163880,H,A,0,8,0.35547521710395813,0.5609925985336304,-0.20551738142967224,6,162180,4.0,0.3455597758293152
hard_miss_gt_low_rank,161,11184,82002,J,H,0,8,0.4429623484611511,0.556894838809967,-0.11393249034881592,7,129650,1.0,0.3701228201389313
hard_miss_gt_low_rank,132,423,131447,A,I,0,7,0.43976014852523804,0.5256987810134888,-0.08593863248825073,2,11051,2.0,0.3482597768306732
hard_miss_gt_low_rank,176,6377,177915,A,H,0,7,0.4111846685409546,0.49069124460220337,-0.07950657606124878,7,117161,1.0,0.28464022278785706
hard_miss_gt_low_rank,78,5031,87059,C,J,0,6,0.4417835474014282,0.4903053045272827,-0.04852175712585449,4,197469,3.0,0.41578391194343567
hard_miss_gt_low_rank,156,7330,8237,J,A,0,6,0.3970663547515869,0.5030325651168823,-0.10596621036529541,0,92073,1.0,0.2830488383769989
hard_miss_gt_low_rank,239,7558,149293,I,H,0,5,0.4195674657821655,0.4877851903438568,-0.06821772456169128,7,113456,1.0,0.3528950810432434
hard_miss_gt_low_rank,193,10350,62483,D,G,0,4,0.4665871262550354,0.5480837821960449,-0.08149665594100952,5,115201,6.0,0.33518651127815247
hard_miss_gt_low_rank,195,9845,74251,D,G,0,4,0.44788622856140137,0.46893802285194397,-0.021051794290542603,0,188175,2.0,0.30854448676109314
semantic_top1_but_llm_miss,102,341,17135,G,H,0,1,0.6529312133789062,0.4438655376434326,0.20906567573547363,6,17135,2.0,0.3481018543243408
semantic_top1_but_llm_miss,148,8949,72477,E,A,0,1,0.539176881313324,0.44162529706954956,0.09755158424377441,4,72477,8.0,0.2846381664276123
semantic_top1_but_llm_miss,15,10579,94609,C,A,0,1,0.5563381910324097,0.48438507318496704,0.07195311784744263,2,94609,2.0,0.6275310516357422
semantic_top1_but_llm_miss,243,8790,187025,H,ERR_EX,0,1,0.6394200325012207,0.5838349461555481,0.05558508634567261,7,187025,,0.44556015729904175
semantic_top1_but_llm_miss,14,7189,172001,C,H,0,1,0.5331304669380188,0.47958725690841675,0.05354321002960205,2,172001,6.0,0.3978659510612488
semantic_top1_but_llm_miss,63,7694,78527,J,F,0,1,0.5288500785827637,0.4843560755252838,0.04449400305747986,9,78527,2.0,0.36883699893951416
semantic_top1_but_llm_miss,81,52,71286,C,J,0,1,0.5431114435195923,0.5140986442565918,0.02901279926300049,2,71286,2.0,0.4144812524318695
semantic_top1_but_llm_miss,246,3903,39422,J,ERR_EX,0,1,0.5336569547653198,0.5092486143112183,0.024408340454101562,9,39422,,0.37032604217529297
semantic_top1_but_llm_miss,230,7097,29117,H,D,0,1,0.5316625833511353,0.5099778771400452,0.021684706211090088,7,29117,3.0,0.44861289858818054
semantic_top1_but_llm_miss,104,3987,72498,G,J,0,1,0.4849069118499756,0.46471211314201355,0.020194798707962036,6,72498,4.0,0.32226794958114624
llm_hit_not_semantic_top1,129,9329,10642,D,D,1,7,0.4450027346611023,0.5571035146713257,-0.11210078001022339,4,114190,7.0,0.35672804713249207
llm_hit_not_semantic_top1,92,11723,187209,G,G,1,8,0.4047725796699524,0.5057281851768494,-0.10095560550689697,2,52598,8.0,0.3406791687011719
llm_hit_not_semantic_top1,183,1264,7141,D,D,1,3,0.5070860385894775,0.5810474157333374,-0.07396137714385986,2,47934,3.0,0.4007841944694519
llm_hit_not_semantic_top1,19,2364,99312,J,J,1,6,0.4101988673210144,0.48175761103630066,-0.07155874371528625,0,206478,6.0,0.3425426483154297
llm_hit_not_semantic_top1,62,7881,64634,D,D,1,4,0.4389810562133789,0.5086938738822937,-0.0697128176689148,7,51587,4.0,0.32126331329345703
llm_hit_not_semantic_top1,245,5417,47487,A,A,1,2,0.4795990586280823,0.5400707125663757,-0.06047165393829346,7,81462,2.0,0.3022480607032776
llm_hit_not_semantic_top1,9,7963,60048,A,A,1,5,0.415041446685791,0.4734020531177521,-0.05836060643196106,2,85341,5.0,0.35967251658439636
llm_hit_not_semantic_top1,192,505,177924,I,I,1,4,0.4782271683216095,0.533279538154602,-0.055052369832992554,0,91482,4.0,0.365950345993042
llm_hit_not_semantic_top1,153,2372,99569,I,I,1,3,0.5212591290473938,0.5747683644294739,-0.05350923538208008,3,175796,3.0,0.40362104773521423
llm_hit_not_semantic_top1,69,8960,64600,B,B,1,4,0.4936330020427704,0.5455064177513123,-0.05187341570854187,7,181481,4.0,0.35644271969795227
