primary_tag,result,case_type,index,bundle_id,true_option_char,prediction,gt_plausibility,distractor_hardness,evidence,input_str,target_str
ambiguous_or_counterintuitive_gt,baseline,fail,121,17230,F,E,1.0,3.0,"The input items are explicitly for autumn/winter (fleece-lined leggings), making the ground-truth summer sandals highly counterintuitive and seasonally mismatched.",1. 秋冬季2018新款打底裤加绒加厚裤裤子外穿保暖裤肉色光腿神器女装; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. CONVERSE匡威官方  All Star ' 70 高帮复古帆布 142334; B. X18秋冬 属于你的时装款 分层设计 羊毛呢A字裙半身裙 米虫爱吃米; C. Bershka女士 2018新款黑色拉链迷你时尚潮流皮革腰包 09510986800; D. 2018秋冬新款韩版高腰A型开叉半身裙女冬季中长款复古格子A字裙子; E. MALI/2018秋装新款宽松显瘦圆领针织衫长袖套头慵懒风羊绒毛衣女; F. 一字扣带透明凉鞋女夏2018新款百搭高跟鞋露趾方头简约粗跟水晶鞋; G. 老爹鞋女2019新款春季网红ins潮女鞋网面夏季透气增高厚底运动鞋; H. NizonDays201新款春季女士松紧开叉高腰休闲针织黑色半裙潮流长裙; I. 打底裤高腰黑色紧身小脚港风裤子复古原宿学院风春秋外穿休闲女裤; J. 毛绒单鞋女2018新款冬季矮跟鞋子方头平底懒人鞋黑色有跟的毛毛鞋
ambiguous_or_counterintuitive_gt,intent_prompt,fail,121,17230,F,E,1.0,3.0,"The input items are explicitly for autumn/winter (fleece-lined leggings), making the ground-truth summer sandals highly counterintuitive and seasonally mismatched.",1. 秋冬季2018新款打底裤加绒加厚裤裤子外穿保暖裤肉色光腿神器女装; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. CONVERSE匡威官方  All Star ' 70 高帮复古帆布 142334; B. X18秋冬 属于你的时装款 分层设计 羊毛呢A字裙半身裙 米虫爱吃米; C. Bershka女士 2018新款黑色拉链迷你时尚潮流皮革腰包 09510986800; D. 2018秋冬新款韩版高腰A型开叉半身裙女冬季中长款复古格子A字裙子; E. MALI/2018秋装新款宽松显瘦圆领针织衫长袖套头慵懒风羊绒毛衣女; F. 一字扣带透明凉鞋女夏2018新款百搭高跟鞋露趾方头简约粗跟水晶鞋; G. 老爹鞋女2019新款春季网红ins潮女鞋网面夏季透气增高厚底运动鞋; H. NizonDays201新款春季女士松紧开叉高腰休闲针织黑色半裙潮流长裙; I. 打底裤高腰黑色紧身小脚港风裤子复古原宿学院风春秋外穿休闲女裤; J. 毛绒单鞋女2018新款冬季矮跟鞋子方头平底懒人鞋黑色有跟的毛毛鞋
ambiguous_or_counterintuitive_gt,delete_prompt,fail,121,17230,F,E,1.0,3.0,"The input items are explicitly for autumn/winter (fleece-lined leggings), making the ground-truth summer sandals highly counterintuitive and seasonally mismatched.",1. 秋冬季2018新款打底裤加绒加厚裤裤子外穿保暖裤肉色光腿神器女装; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. CONVERSE匡威官方  All Star ' 70 高帮复古帆布 142334; B. X18秋冬 属于你的时装款 分层设计 羊毛呢A字裙半身裙 米虫爱吃米; C. Bershka女士 2018新款黑色拉链迷你时尚潮流皮革腰包 09510986800; D. 2018秋冬新款韩版高腰A型开叉半身裙女冬季中长款复古格子A字裙子; E. MALI/2018秋装新款宽松显瘦圆领针织衫长袖套头慵懒风羊绒毛衣女; F. 一字扣带透明凉鞋女夏2018新款百搭高跟鞋露趾方头简约粗跟水晶鞋; G. 老爹鞋女2019新款春季网红ins潮女鞋网面夏季透气增高厚底运动鞋; H. NizonDays201新款春季女士松紧开叉高腰休闲针织黑色半裙潮流长裙; I. 打底裤高腰黑色紧身小脚港风裤子复古原宿学院风春秋外穿休闲女裤; J. 毛绒单鞋女2018新款冬季矮跟鞋子方头平底懒人鞋黑色有跟的毛毛鞋
ambiguous_or_counterintuitive_gt,image_text,fail,121,17230,F,E,1.0,3.0,"The input items are explicitly for autumn/winter (fleece-lined leggings), making the ground-truth summer sandals highly counterintuitive and seasonally mismatched.",1. 秋冬季2018新款打底裤加绒加厚裤裤子外穿保暖裤肉色光腿神器女装; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. CONVERSE匡威官方  All Star ' 70 高帮复古帆布 142334; B. X18秋冬 属于你的时装款 分层设计 羊毛呢A字裙半身裙 米虫爱吃米; C. Bershka女士 2018新款黑色拉链迷你时尚潮流皮革腰包 09510986800; D. 2018秋冬新款韩版高腰A型开叉半身裙女冬季中长款复古格子A字裙子; E. MALI/2018秋装新款宽松显瘦圆领针织衫长袖套头慵懒风羊绒毛衣女; F. 一字扣带透明凉鞋女夏2018新款百搭高跟鞋露趾方头简约粗跟水晶鞋; G. 老爹鞋女2019新款春季网红ins潮女鞋网面夏季透气增高厚底运动鞋; H. NizonDays201新款春季女士松紧开叉高腰休闲针织黑色半裙潮流长裙; I. 打底裤高腰黑色紧身小脚港风裤子复古原宿学院风春秋外穿休闲女裤; J. 毛绒单鞋女2018新款冬季矮跟鞋子方头平底懒人鞋黑色有跟的毛毛鞋
ambiguous_or_counterintuitive_gt,delete_image_text,fail,121,17230,F,E,1.0,3.0,"The input items are explicitly for autumn/winter (fleece-lined leggings), making the ground-truth summer sandals highly counterintuitive and seasonally mismatched.",1. 秋冬季2018新款打底裤加绒加厚裤裤子外穿保暖裤肉色光腿神器女装; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. CONVERSE匡威官方  All Star ' 70 高帮复古帆布 142334; B. X18秋冬 属于你的时装款 分层设计 羊毛呢A字裙半身裙 米虫爱吃米; C. Bershka女士 2018新款黑色拉链迷你时尚潮流皮革腰包 09510986800; D. 2018秋冬新款韩版高腰A型开叉半身裙女冬季中长款复古格子A字裙子; E. MALI/2018秋装新款宽松显瘦圆领针织衫长袖套头慵懒风羊绒毛衣女; F. 一字扣带透明凉鞋女夏2018新款百搭高跟鞋露趾方头简约粗跟水晶鞋; G. 老爹鞋女2019新款春季网红ins潮女鞋网面夏季透气增高厚底运动鞋; H. NizonDays201新款春季女士松紧开叉高腰休闲针织黑色半裙潮流长裙; I. 打底裤高腰黑色紧身小脚港风裤子复古原宿学院风春秋外穿休闲女裤; J. 毛绒单鞋女2018新款冬季矮跟鞋子方头平底懒人鞋黑色有跟的毛毛鞋
ambiguous_or_counterintuitive_gt,intent_image_text,fail,121,17230,F,E,1.0,3.0,"The input items are explicitly for autumn/winter (fleece-lined leggings), making the ground-truth summer sandals highly counterintuitive and seasonally mismatched.",1. 秋冬季2018新款打底裤加绒加厚裤裤子外穿保暖裤肉色光腿神器女装; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. CONVERSE匡威官方  All Star ' 70 高帮复古帆布 142334; B. X18秋冬 属于你的时装款 分层设计 羊毛呢A字裙半身裙 米虫爱吃米; C. Bershka女士 2018新款黑色拉链迷你时尚潮流皮革腰包 09510986800; D. 2018秋冬新款韩版高腰A型开叉半身裙女冬季中长款复古格子A字裙子; E. MALI/2018秋装新款宽松显瘦圆领针织衫长袖套头慵懒风羊绒毛衣女; F. 一字扣带透明凉鞋女夏2018新款百搭高跟鞋露趾方头简约粗跟水晶鞋; G. 老爹鞋女2019新款春季网红ins潮女鞋网面夏季透气增高厚底运动鞋; H. NizonDays201新款春季女士松紧开叉高腰休闲针织黑色半裙潮流长裙; I. 打底裤高腰黑色紧身小脚港风裤子复古原宿学院风春秋外穿休闲女裤; J. 毛绒单鞋女2018新款冬季矮跟鞋子方头平底懒人鞋黑色有跟的毛毛鞋
ambiguous_or_counterintuitive_gt,co_occer_cf,success,121,17230,F,F,1.0,3.0,"The input items are explicitly for autumn/winter (fleece-lined leggings), making the ground-truth summer sandals highly counterintuitive and seasonally mismatched.",1. 秋冬季2018新款打底裤加绒加厚裤裤子外穿保暖裤肉色光腿神器女装; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. CONVERSE匡威官方  All Star ' 70 高帮复古帆布 142334; B. X18秋冬 属于你的时装款 分层设计 羊毛呢A字裙半身裙 米虫爱吃米; C. Bershka女士 2018新款黑色拉链迷你时尚潮流皮革腰包 09510986800; D. 2018秋冬新款韩版高腰A型开叉半身裙女冬季中长款复古格子A字裙子; E. MALI/2018秋装新款宽松显瘦圆领针织衫长袖套头慵懒风羊绒毛衣女; F. 一字扣带透明凉鞋女夏2018新款百搭高跟鞋露趾方头简约粗跟水晶鞋; G. 老爹鞋女2019新款春季网红ins潮女鞋网面夏季透气增高厚底运动鞋; H. NizonDays201新款春季女士松紧开叉高腰休闲针织黑色半裙潮流长裙; I. 打底裤高腰黑色紧身小脚港风裤子复古原宿学院风春秋外穿休闲女裤; J. 毛绒单鞋女2018新款冬季矮跟鞋子方头平底懒人鞋黑色有跟的毛毛鞋
ambiguous_or_counterintuitive_gt,user_prefer_cf,fail,121,17230,F,E,1.0,3.0,"The input items are explicitly for autumn/winter (fleece-lined leggings), making the ground-truth summer sandals highly counterintuitive and seasonally mismatched.",1. 秋冬季2018新款打底裤加绒加厚裤裤子外穿保暖裤肉色光腿神器女装; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. CONVERSE匡威官方  All Star ' 70 高帮复古帆布 142334; B. X18秋冬 属于你的时装款 分层设计 羊毛呢A字裙半身裙 米虫爱吃米; C. Bershka女士 2018新款黑色拉链迷你时尚潮流皮革腰包 09510986800; D. 2018秋冬新款韩版高腰A型开叉半身裙女冬季中长款复古格子A字裙子; E. MALI/2018秋装新款宽松显瘦圆领针织衫长袖套头慵懒风羊绒毛衣女; F. 一字扣带透明凉鞋女夏2018新款百搭高跟鞋露趾方头简约粗跟水晶鞋; G. 老爹鞋女2019新款春季网红ins潮女鞋网面夏季透气增高厚底运动鞋; H. NizonDays201新款春季女士松紧开叉高腰休闲针织黑色半裙潮流长裙; I. 打底裤高腰黑色紧身小脚港风裤子复古原宿学院风春秋外穿休闲女裤; J. 毛绒单鞋女2018新款冬季矮跟鞋子方头平底懒人鞋黑色有跟的毛毛鞋
brand_or_collection_match,baseline,fail,193,19265,E,D,5.0,2.0,"The input item 2 is from the brand '亦谷' (Yigu), and the ground-truth item E is also from the same brand '亦谷', making it the most logical choice for a brand-consistent bundle.",1. 芭蕾舞女孩显脸瘦的耳环女长款适合圆脸耳坠韩国气质耳钉夸张耳饰; 2. 亦谷2018春秋装新款宽松纯色灯笼袖针织衫中长款开衫女L182,A. 妖精的口袋碎花连衣裙春2019新款雪纺v领温柔裙收腰心机长裙子女; B. 娃娃领连衣裙2018夏季新款女装蓝色小清新宽松显瘦荷叶边直筒裙子; C. 大沿渔夫帽女柔软可折叠遮阳帽休闲旅行太阳帽纯色百搭凉帽春夏季; D. MICOCAH 包包 女包 新款2019 法国小众时尚单肩斜挎百搭小方包ins; E. 亦谷2019春装新款中长款印花长袖裙子过膝碎花雪纺连衣裙黑色女; F. GENANX闪电潮牌连帽短袖男创意背面印花织带男t恤潮夏季新款时尚; G. 花花公子时尚外穿夏季沙滩室外凉拖夹脚防滑夏天人字拖男士拖鞋男; H. Artmi空下架女包包2017新款个性可爱链条包印花单肩包斜挎包方包; I. 黑色马衔扣乐福鞋女真皮2019春新款复古圆头平底单鞋英伦风小皮鞋; J. Gillivo嘉里奥新款夏季真皮女包个性圆形手拿包手拎迷你小包包潮
brand_or_collection_match,baseline,fail,202,9836,H,A,5.0,2.0,"The ground-truth item shares the same brand '希野' and collection '2018早春新款' as the input trousers, making it the most logical addition.",1. 希野2018早春新款侧边字母印花高腰阔腿裤气质优雅收腰外穿长裤女; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. 脸儿艺 重磅手工钉珠鳞片绣花 拼接 七分袖 百搭杏色森女上衣; B. 小瑞靓包锁扣小方包包女2018新款单肩包时尚百搭斜挎包链条小包包; C. 懒人鞋女2019春季新款搭扣街头休闲平底两穿乐福鞋一脚蹬百搭单鞋; D. 辰未原创简约显瘦立体剪裁束脚休闲裤男日系秋季小脚工装九分裤; E. 小宜定制 卫衣女长袖早秋装韩版宽松ins超火撞色拼接松松垮垮上衣; F. 【南风】拼色手提包包女2018新款秋冬时尚女包拉链单肩包休闲挎包; G. shesgirl茜子首饰 糖果泡泡小米珠玻璃球长款夸张圆环耳钉耳环; H. 希野2018早春新款经典格纹中长款羊毛大衣通勤百搭过膝毛呢外套女; I. Awu 红色V领套头亮晶晶超火毛衣女2018秋冬中长款亮丝气质毛衣裙; J. 小瑞靓包  欧美手提包大包包2018新款女包时尚简约十字纹杀手包
