bundle_id,true_indice,true_option_idx,true_option_char,input_indices,candidate_indices,input_str,target_str,prediction,raw_response,hit,overall_hit_rate,overall_valid_ratio
722,24445,4,E,[6606],"[43712, 10621, 30288, 19254, 24445, 47966, 27471, 34939, 39495, 35369]",1. 2018 봄 신상 얕은 검은색 벌 하이힐 여성용 작은 상큼한 리본 뾰족한 발가락 스틸레토 미드 굽 신발,"A. 저니 오리지널 상품_1겹 소가죽 숄더백, 심플 레트로 심플 여성 크로스백 [첫눈에]
; B. DIN 한국어 2018 가을 신상 예약식 28수 메리노 울 레이스업 와이드팬츠 캐주얼 팬츠
; C. COCOBELLA 편지 인쇄 기모 바닥 셔츠 여성 풀오버 패션 하이 칼라 솔리드 컬러 긴팔 티셔츠 TE593
; D. 여성 캐주얼 여행 한국 스타일 레이스 업 스니커즈 봄과 여름을위한 5cm 고조 작은 꿀벌 자수 연예인 스타일 흰색 신발
; E. 유럽과 미국의 개성이 과장된 유행 후크 귀걸이 긴 스타일 복고풍 궁전 스타일의 금속 잎 귀걸이 여성의 귀 클립
; F. 홍콩 구매 여성 가죽 가방 2019 새로운 트렌드 한국 버전 마름모 체인 가방 작은 향기로운 스타일의 싱글 숄더 크로스백
; G. Mama Ti 2019 봄 패션 BF 스웨트 팬츠 캐주얼 바지 여성 루즈 인 레드 하렘 바지 교복 바지 트렌디
; H. 모자 여성 가을, 겨울 모직 모자 한국어 스타일 겨울 플러시 니트 모자 2018 새로운 패션 다목적 유행 귀 보호 모자
; I. 정품 가죽 내부 높이 증가 여성 신발 8cm 가을 겨울 2018 새로운 매트 블랙 두꺼운 밑창 벨벳 여성 캐주얼 운동화
; J. 여성용 하이웨이스트 루즈한 찢어진 청바지 2018년 여름 새로운 한국어 버전 슬리밍 시크한 학생 다재다능한 홍콩 스타일 첫사랑 바지",A,A,0,0.328,1.0
2266,10879,1,B,"[35611, 8973]","[1540, 10879, 26779, 21065, 9083, 5638, 19706, 45823, 28886, 17927]","1. 2019 여성을 위한 새로운 한국 스타일 모피 작은 가방, 패셔너블하고 다재다능한 미니 사각형 가방 시크한 체인 숄더 크로스바디 백
; 2. EEKE Studio 925 여성용 실버 러브 하트 모양 목걸이, 창의적인 쇄골 체인 목걸이, 틈새 보석 선물","A. NOTHOMME 일본 패션 브랜드 스플라이싱 스트라이프 루즈 배트 슬리브 티셔츠 반소매 남성 커플 티 반팔 힙합
; B. 2019 봄 신상 여성화, 인조 가죽 안팎, 하이힐, 얕은 입, 뾰족한 신발, 만능 두꺼운 굽, 중간 굽 작업화
; C. 특제 925 실버 귀걸이, 귀걸이, 피어싱 없음, 긴 술 귀 클립, 변덕스러운 여성 인터넷 연예인 숲 조개 귀걸이
; D. Jinbao 한국 MLB 야구 모자 남성용 및 여성용 보라색 오리 혀 차양 조정 가능한 소프트 탑 LA Dodge 자수 CPEA
; E. [영구 판매] 오직 새로운 가을 로우 웨이스트 로우 엣지 약간 플레어 9포인트 여성 청바지 | 117349647
; F. Sogo★한국 스타일 시크 솔리드 컬러 니트 베레모 여성 가을 겨울 귀여운 호박 모자 문학 캐주얼 화가 모자 트렌드
; G. Daxi 수제 2018 가을 겨울 새로운 기질 대조 색상 스티치 무지개 손으로 짠 스웨터 여성 풀오버 느슨한 모직 스웨터
; H. 2018 새로운 한국어 스타일 정품 가죽 플랫 신발 레트로 할머니 신발 여성 봄, 가을 미끄럼 방지 힘줄 부드러운 단독 완두콩 신발
; I. 시칠리아 남성 봄 홍콩 스타일 파란색과 흰색 줄무늬 셔츠 긴 소매 한국 스타일 유행 남성 느슨한 bf 후드 셔츠 재킷
; J. Camel 여성 신발 2018 새로운 두꺼운 뒤꿈치 한국 스타일 세련된 긴 부츠 겨울 중간 뒤꿈치 부츠 여성용 무릎 부츠 슬림 부츠",C,C,0,0.328,1.0
4809,22427,1,B,[47294],"[7616, 22427, 11817, 34717, 10820, 43661, 4193, 43180, 20045, 17053]",1. MOERCC2018 신상 숄더백 여성용 핸드백 정품 가죽 캐주얼 크로스백 소가죽 레트로 심플 여성용 가방,"A. A21 가을 겨울 남성용 스웨트 셔츠, 문자 인쇄 체크 무늬 스플리싱 가짜 두 조각, 심플하고 패셔너블함
; B. Mrs. Lu 신발 여성 봄, 가을 2019 새로운 다목적 한국 스타일 패션 레이디의 얕은 입 플랫 싱글 신발 특종 신발 여름
; C. PEACEBIRD 남성 겨울 남성 하이탑 심플 화이트 스트랩 클래식 정품 가죽 트렌디 캐주얼 슈즈 B2ZA64106
; D. 9월 모 모 2019 신상 가을 여장 프린트 시폰 원피스 중장 캐주얼 전시
; E. 여성용 벨벳 캔버스 신발 2019 새로운 겨울 학생 한국어 버전 하라주쿠 얼짱 다용도 소형 흰색 홍콩 스타일 스니커즈
; F. 시칠리아 남성 반팔 셔츠 홍콩 스타일 시크 루즈 여름 한국 스타일 트렌디 영국 미드 슬리브 셔츠
; G. 맞춤형 2019 봄 신상 복고 낮은 굽 리본 심신 싱글 슈즈 뾰족한 구두로 사계절 분위기를 연출하다
; H. 와이드 팬츠 여성 여름 바지 2019 봄 가을 새로운 스타일 드롭 드레이프 사이드 스트라이프 하이 웨이스트 스포츠 스트레이트 팬츠 캐주얼 바지
; I. Ah Hei 한국 인기 귀걸이 수지 퓨어 화이트 하프 오픈 후프 대형 귀걸이 스트리트 스타일 여성용 연예인 귀걸이
; J. 2019 신상 여름 OL 패셔너블한 기질의 허리 반팔 슬리밍 중간 길이 러플 드레스로 우아한 여성을 위한",J,J,0,0.328,1.0
11737,39944,6,G,[41715],"[39915, 23668, 4207, 969, 17969, 8753, 39944, 4642, 15192, 45281]",1. 팬 Zhiqiao 배꼽 노출 반팔 여성 여름 라운드 넥 솔리드 컬러 짧은 티셔츠 순면 다목적 슬리밍 한국식 탑,"A. JHXC 레트로 격자 무늬 뿔 단추 모직 코트 여성 중간 길이 2018 가을, 겨울 새로운 양면 캐시미어 코트
; B. 한국식 여름 모자, 세련된 영국식 여성용 밀짚모자, 복고풍 나비 돔 햇빛 차단 해변 모자
; C. 여학생용 후드 데님 재킷 짧은 한국식 루즈 bf 다용도 2017 새로운 하라주쿠 스타일 봄, 가을 패션 유행
; D.K 스트라이프 여성용 와이드 팬츠 봄 여름 얇은 신축성 있는 허리 드레이프 다목적 슬리밍 2019 신상 캐주얼 팬츠
; E. MASOOMAKE2018 여성용 새 벨벳 마틴 부츠 여성용 영국 스타일 겨울 레이스 업 스노우 부츠 면화 짧은 부츠
; F. 여성용 밍크 벨벳 레오파드 프린트 V 넥 스웨터 2018 가을 새로운 짧은 스타일 루즈하고 다용도 게으른 풀오버 니트 탑
; G. Fan Zhiqiao 여성용 캐주얼 스포츠 바지 한국식 루즈 하라주쿠 bf 스트라이프 와이드 레그 팬츠 여성용 여름용 9점 바지
; H. Yubuer 2018 여성용 새 루즈한 원라인 칼라 체크 무늬 셔츠 여름 캐주얼 러플 짧은 셔츠 탑
; I. 뚱뚱한 여성을위한 Yipinle 오리지널 대형 가짜 투피스 스트라이프 풀오버 셔츠 여성용 중간 길이 루즈 탑 봄 착용
; J. 마틴 부츠 영국 스타일 2017 새로운 정품 가죽 복고풍 사각형 발가락 하이힐 여성 신발 가을 겨울 두꺼운 뒤꿈치 짧은 부츠",D,D,0,0.328,1.0
17869,43126,4,E,[32245],"[41301, 18405, 34651, 4128, 43126, 38100, 33734, 47662, 41412, 44180]","1. 귀걸이, 여성스러운, 한국 심플한 지르콘 인터넷 연예인 스털링 실버 귀걸이, 달콤한 눈꽃 라인스톤 귀걸이, 저자극 주얼리","A. 로즈 벨 레드 셔츠 여성 긴팔 2019 봄 신상 패션 기질 OL 탑 전문 브러쉬 셔츠
; B. 레트로 원라인 네크라인 얇은 린넨 셔츠 여성용 여름 한국식 시크 기질 솔리드 컬러 탑 인형 셔츠
; C. Fan Zhiqiao 2018 봄 신상 레트로 스웨터 여성 루즈핏 가디건 스웨터 재킷
; D. Gu Yixuan 2019 봄 신상 트렌드 여성 패션은 매우 핫한 한국식 리벳과 비즈 스티치 핸드백을 선보입니다.
; E. Xia Shiwen의 맞춤형 단추 장식 하이 웨이스트 슬림 스커트 여성용 봄 스타일 다용도 솔리드 컬러 A 라인 스커트
; F.Luojia RMOJUL 2018 여름 여성 새 스타일 패치 개 자수 A 라인 데님 스커트 스커트 SW
; G. 2018 가을 겨울 새 스타일 벨벳 두꺼운 반 하이 칼라 양면 골드 벨벳 스웨트 셔츠 여성용 루즈한 자수 한국 스타일 재킷 트렌드
; H. 과장된 긴 귀걸이, 민족 복고 스타일 귀걸이, 한국 기질, 슈퍼 선녀 얼굴, 날씬한 귀고리, 빨간색 새 스타일 여성용 귀걸이
; I. Deer and Birds 오리지널 여름 편안한 니트 코튼 반팔 롱 T 드레스 바닥 스커트 2 색 1615#Q
; J. Macheda 겨울 짧은 벨벳 후드 티셔츠 일본 복고풍 느슨한 자수 솔리드 컬러 풀오버 탑 남성 까마귀",E,E,1,0.328,1.0
12361,26154,0,A,[32117],"[26154, 28539, 21189, 4960, 37285, 21853, 1654, 3688, 41202, 39433]","1. 엑스텝 스니커즈, 캐주얼 슈즈, 커플을 위한 진짜 봄 패션 스니커즈, 트렌디한 커플, 화이트 슈즈","A. AK 남성용 신상 Urban Agent 슬리브 프린트 라운드 넥 풀오버 청소년 캐주얼 스웨터 탑 남성용 트렌디
; B. [특별 제공] 새로운 입체 커팅 울 테이퍼드 레깅스 두꺼워진 캐주얼 팬츠 남성 작은 발이 있는 루즈한 하렘 팬츠
; C. 여성용 샌들 2018 여름 신한식 학생 선녀 플랫 바닥 심플 다재다능한 한 단어 버클 플랫 힐 화이트 여성용 신발
; D. 같은 스타일의 인터넷 연예인 봄 여성 슈퍼 하이웨이스트 진, 불규칙한 엣지, 슬림핏, 찢어진 나인포인트 팬츠, 트렌디
; E. EP Yaying 2019 가을 겨울 신작 여성 자수 후드 풀오버 탑 긴팔 스웨트 셔츠 EJDAW5208A
; F. 정품 가죽 여성용 가방, 심플한 소가죽, 대용량 여성용 대형 가방, 문예 숄더백, 토트백 2019 새로운 스타일
; G. 퀸핫 세이브 짧은다리 기본 탄력 슬리밍 긴다리 블랙 레깅스
; H. Xiyu 여성 신발 봄과 가을 새로운 스타일의 소가죽 통기성 둥근 발가락 레이스 업 플랫 바닥 로우 탑 캐주얼 스케이트 보드 신발 여성용 작은 검은 신발
; I. 여름 울장 여성용 분지 모자 하라주쿠 스타일 부드러운 소녀 어부 모자 여성용 한국어 버전 학생 귀여운 일본 태양 보호 모자
; J. 2019 봄 얼짱 레트로 올드 스타 플랫 작은 더러운 신발 여성 캐주얼 신발 힙합 하이 탑 캔버스",B,B,0,0.328,1.0
4551,32272,2,C,"[32824, 24325]","[19155, 47719, 32272, 19995, 41106, 41550, 21652, 10778, 16170, 41367]","1. IM이 직접 만든 가을 여성 올 매치 긴팔 셔츠 한국식 레트로 시크 작은 신선한 격자 무늬 BF 스타일 셔츠
; 2. 박정의 봄 신상 중기 뿔단추 모직 코트 여성용 캐시미어 모직 코트","A. [투피스 249] 캣소스 퍼플/오리지널 일본 여성 레트로 프린트 코튼 자켓 두꺼운 야구 유니폼
; B. Sumu 오리지널 대형 대비 컬러 스플 라이스 드레스 여성 반팔 하이 웨이스트 슬림 a 라인 스커트 여성 OY3049
; C. 여성을 위한 EKOOL 불규칙한 슬리밍 하이웨이스트 레깅스 9점 타이트한 신축성 레깅스로 슬림하면서도 긴바지를 연출할 수 있는 레깅스
; D. Jianbaige 여성용 여름 소형 가방 2019 새로운 봄 스타일 ins 체인 패션 여성용 다용도 싱글 숄더 크로스 바디 백
; E. 과장된 한국 기질을 지닌 여성을 위한 오각별 귀걸이, 긴 펜던트, 다재다능한 섹시한 인터넷 연예인 스타 귀걸이 및 귀걸이
; F. 롱 윈드 브레이커 라펠 여성용 플리츠 루즈 코트 실루엣 디자이너 코트 우아한 복고풍 Yohji Yamamoto
; G. 사용자 정의 2018 겨울 새 스타일 활 진짜 모피 칼라 솔리드 컬러 코 튼 옷 느슨한 벨벳 두꺼운 양고기 양모 자 켓 여성을위한
; H. 기질 사교계 여름 드레스 2019 신상 ifashion 스커트 여성 블랙 투피스 드레스 중장 트렌드
; I. TASHUO 여성용 가방 2018 신형 뱀 머리 가방 기질 흰색 체인 작은 사각형 가방 싱글 숄더 대각선 아코디언 가방 여성용 가방
; J. GXG 남성 남성 블루 캐주얼 슬림 후드 다운 재킷 남성 재킷 #64211130",D,D,0,0.328,1.0
379,39127,8,I,"[8719, 6839]","[13334, 35153, 27939, 44, 36231, 12369, 38568, 25367, 39127, 15496]","1. 여성용 엑스트라 파인 여행용 라피아 모자, 여름 및 한국 버전, 챙이 큰 비치 모자, 자외선 차단 선바이저, 접이식
; 2. 9월 모모 2019 신작 여름 여성용 중간 길이 인형 칼라 원피스 한국식 루즈 캐주얼 스커트 여성용","A. SX Shanxi 2019 봄 여성용 원라인 칼라 상의 홍콩 스타일 여성의 섹시하고 여성스러운 기질 기울어진 어깨 바닥 셔츠 루즈함
; B. 남성용 A21 폴로 셔츠, 여름 라펠 신축성 트렌디 청소년 반팔 소년 캐주얼 남성 탑
; C. 여성을위한 여름 새로운 순수 가죽 작은 가방 2019 새로운 유행 다재다능한 크로스 바디 핸드백 미니 정품 가죽 여성용 가방 부드러운 가죽
; D. [모닝런] 컨버스 잭 퍼셀 로우컷 가죽 캔버스 슈즈 T#
; E. VH 여성용 가방 신상 트렌디 핸드백 심플 솔리드 컬러 크로스 바디 백 프레쉬 소가죽 통근 캐주얼 다용도 숄더백
; F. 2018 여성용 신상 스노우 부츠, 누벅 가죽 울 올인원 대형 모피 볼 학생 스노우 코튼 슈즈, 여성용 플랫 웜 부츠
; G. 유럽역 원스텝 화이트 장베이베이 모피 여성 신춘 완두콩 신발 인터넷 연예인 테디 모피 여성 신발
; H. 무릎 위로 따뜻한 프랑스 복고풍 스커트 미소 완전히 수 놓은 투피스 드레스 요정 스커트 봄 2019 여성
; I. Keds Xiujing 스타일 여성 전매치 기본 흰색 신발 가죽 두꺼운 플랫폼 신발 캐주얼 스니커즈 WH57310
; J. SINCE THEN 딥 브이 넥 비치 드레스 휴가 짧은 미디 롱 드레스 여성 블루 펄",C,C,0,0.328,1.0
10076,11606,6,G,"[22106, 29575]","[18780, 18870, 26030, 42036, 48201, 30559, 11606, 35534, 10506, 19327]","1. 해적 실버 주얼리 여성을 위한 새로운 핑크 벚꽃 귀걸이 한국 스타일 실버 귀걸이 패션 개인 귀걸이 간단한 귀걸이
; 2. VSVELSUS2018 신상 싱글 숄더 크로스 스트라이프 체인 스몰 스퀘어 가방 여성용 가방 VA503902","A. 여성을 위한 짧은 모피 올인원 스노우 부츠 2018 새로운 플랫폼 밑창 면화 겨울 신발 따뜻한 두꺼운 밑창 짧은 부츠 한국어 버전
; B. '복지 스타일' 노란 빵 슈트, 환불 불가, 교환 불가, 촬영시주의하시기 바랍니다
; C. OSSO 메리 제인 신발 2017 가을 새로운 금속 원 버클 여성 신발 중간 뒤꿈치 두꺼운 뒤꿈치 중공 광장 발가락 여성을위한 단일 신발
; D. 여성용 리틀 페퍼 무릎 위 부츠 2018 새로운 스트레치 부츠 중간 두꺼운 발 뒤꿈치 긴 슬림 부츠 여성 가을, 겨울 하이 부츠
; E. 여성용 가방 2018 새로운 스타일의 첫 번째 레이어 페블 가죽 모든 일치 잠금 사다리꼴 가방 어깨 패션 여성용 핸드백
; F. 귀걸이 한국의 우아한 여성용 스털링 실버 긴 꽃 펜던트 다용도 귀걸이와 들판 목련 꽃 귀걸이
; G. Renben 2018 여성용 두꺼운 흰색 신발 새로운 다목적 가죽 흰색 운동화 플랫폼 밑창 레이스 업 솔리드 컬러 캐주얼 신발
; H. BAO STYLE ◆ 여성을 위한 기질 골든 라운드 풀 다이아몬드 귀걸이 한국식 심플 대형 귀걸이 인터넷 연예인 귀걸이 트렌드
; I. 여성 가을 의류 2018 새로운 패션 유행 실크 스트라이프 컬러 차단 한국 스타일 느슨한 게으른 니트 스웨터 여성 풀오버
; J.S 오리지널 여성 의류 가을 2018 새로운 스타일 바지 루즈한 바지 레깅스 스포츠 바지 여성용 캐주얼 바지",C,C,0,0.328,1.0
14042,13907,1,B,"[582, 26217]","[359, 13907, 18639, 5486, 9889, 12199, 47474, 43932, 45516, 19213]","1. 리바이스 남자 구두 여름 화이트 캔버스화 남자 로우탑 천신발 남자 슬립온 게으른 운동화 캐주얼 유행 신발
; 2. Mbbcar 유럽 및 미국 서해안 트렌디 남성 위스커 워시드 화이트 블루 셀비지 데님 나인포인트 남성용 청바지","A. 여성용 짧은 윈드 브레이커 2019 봄 신한식 루즈한 Muxiangwu 6452 작은 사람들을 위한 레이스업 더블 브레스트 코트
; B. 남성용 티타임 블루 라벨 오가닉 코튼 라운드 넥 반팔 티셔츠, 화이트 블랙 단색, 캐주얼하고 예술적인
; C. CHROUSE&amp;KLOTH 여성용 체인백 2019년 신작 싱가포르 스몰 ck 스팽글 다용도 한정판 크로스백
; D. 여성을 위한 홍콩 스타일 특대 가짜 투피스 후드 데님 재킷 2019 봄 신상 루즈한 긴팔 재킷 탑
; E. Miss Chipmunk 2019 새로운 스타일의 심플하고 다재다능한 베이직 퍼리 데님 스커트 흑백
; F. 에어포스원 2018 나이키 미드탑 남성화 하이탑 나이키 여성화 af1 미드 블랙 로우탑 스몰 화이트 스니커즈
; G. 요정의 주머니 가을, 겨울 유행 양모 학생 후드 스플 라이스 모직 코트 여성용 중간 길이 두꺼운 모직 코트
; H. 28 봄 옷 일본 복고풍 거리 패션 라벨 셔츠 남성 캐주얼 루즈 커플 셔츠 긴 소매
; I. 렌벤 캔버스 슈즈, 여성용 문예 화이트 슈즈, 2019 봄 신상 다용도 통기 학생 플랫 캐주얼 스니커즈
; J. GBOY 겨울 유행 젊은 남성을위한 맞춤형 자수 스웨터 느슨한 세탁 스웨터 일본 풀오버 최종 라인 셔츠",B,B,1,0.328,1.0
